sequence,complexity,length_type,language,q_length,GPT4_answer,a_length,temperature,real_code,print_code,no_code,explanation,no_sense,exe_out,correct_execution,Levenshtein,normalized_answer,normalized_length,compressed_answer,compressed_len,compressed_norm_answer,compressed_norm_len,compressed_sequence,compressed_sequence_len
"26, 94, 98, 137, 176, 301, 323, 330, 372, 444",4,0,Mathematica,183,"```mathematica
FindSequenceFunction[{26, 94, 98, 137, 176, 301, 323, 330, 372, 444}, n]
```",91,0.7,0,1,0,0,0,"26, 94, 98, 137, 176, 301, 323, 330, 372, 444, 11",False,4,"```mathematica
FindSequenceFunction[{}, n]
```",46,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d546663a0a9626406ca1a360686c0e24cc8122c6068640c2c81848181b000973231d051313935a1d85bc58ae8484040030a31962,178,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5b53a0a79b15c090909009f36113d,104,789c3332d351b03401620b1d0543637320610e14313630041246c640c2d80048981be9289898980000bbbe0826,90
"39, 81, 88, 210, 215, 378, 416, 430, 439, 490",4,0,Mathematica,183,"```mathematica
Sequence[39, 81, 88, 210, 215, 378, 416, 430, 439, 490]
```",74,0.7,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1c6963a0a1686406ca1a360646800224c75148ccd815c13433320616c002280aa4c2c0d62b9121212002b0012f1,140,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33b6d451b03004620b1d052343031061aaa3606c0ee49a189a010963031001546562690000bb98082e,86
"90, 203, 212, 235, 270, 324, 342, 352, 371, 417",4,0,Mathematica,185,"```mathematica
Sequence[90, 203, 212, 235, 270, 324, 342, 352, 371, 417]
```",76,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d196063a0a4606c640c2d00848189b020973a098b191099030018a199b820873431d051343f358ae848404004d921339,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789cb334d0513032300612864640c2d814489803c58c8d4c80840950ccd81444981bea2898189a0300ca4a0876,90
"20, 48, 95, 234, 282, 296, 352, 402, 428, 481",4,0,Mathematica,183,"```mathematica
Sequence[20, 48, 95, 234, 282, 296, 352, 402, 428, 481]
```",74,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d146063a0a26163a0a96a63a0a46c62640c2c20848589ae928189b0259260620c2c802a4ca30962b212101002a4c12ed,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3332d05130b1d051b034d5513032360112164640c2d24c47c1d814c832310011461620558600baf8082a,88
"62, 98, 130, 154, 290, 315, 324, 385, 408, 447",4,0,Mathematica,184,"```mathematica
Sequence[62, 98, 130, 154, 290, 315, 324, 385, 408, 447]
```",75,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d166463a0a96163a0a86c60640c2d44447c1c812c832363405124640aeb10590656200546262621ecb95909000003d2a131f,148,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3333d251b0b4d0513034360012a6263a0a46964096b1a129903002728d2d802c1303a01213137300c3a0085c,92
"2, 42, 66, 102, 153, 195, 201, 252, 306, 396",4,0,Mathematica,182,"```mathematica
FindSequenceFunction[{2, 42, 66, 102, 153, 195, 201, 252, 306, 396}, n]
```",90,0.5,0,1,0,0,0,"2, 42, 66, 102, 153, 195, 201, 252, 306, 396, 11",False,4,"```mathematica
FindSequenceFunction[{}, n]
```",46,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5463a0a26406c66a6a360680064189a1a03094b531d0523034320610a14333600ca1a5b9ad5ea28e4c572252424000013a5191f,178,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5b53a0a79b15c090909009f36113d,104,789c33d2513031d2513033d351303400320c4d8d8184a5a98e829181219030058a191b00658d2dcd00af9907e3,90
"26, 50, 114, 148, 160, 170, 274, 347, 432, 497",4,0,Mathematica,184,"```mathematica
FindSequenceFunction[{26, 50, 114, 148, 160, 170, 274, 347, 432, 497}, n]
```",92,0.5,0,1,0,0,0,"26, 50, 114, 148, 160, 170, 274, 347, 432, 497, 11",False,4,"```mathematica
FindSequenceFunction[{}, n]
```",46,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d546663a0aa6063a0a86862640c2c402489881b8e640c2c81c28666c62aea360626c04242ccd6b7514f262b91212120046f31990,178,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5b53a0a79b15c090909009f36113d,104,789c3332d3513035d0513034340112261640c20cc435071246e640316313731d051363232061690e00c1f20854,90
"48, 94, 176, 177, 219, 276, 282, 283, 459, 488",4,0,Mathematica,184,"```mathematica
Sequence[48, 94, 176, 177, 219, 276, 282, 283, 459, 488]
```",75,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d126163a0a96263a0a86e66620c25c47c1c8d0124880b846164620c25847c1c4142866626111cb959090000040bd1340,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33b1d051b034d1513034370311e63a0a4686964002c435b2300211c63a0a26a64031130b0b00c68e087d,88
"139, 252, 272, 281, 304, 361, 370, 415, 438, 500",4,0,Mathematica,186,"```mathematica
Sequence[139, 252, 272, 281, 304, 361, 370, 415, 438, 500]
```",77,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d186c6963a0a46a64640c21c445818ea28181b9800093310cbdc4047c1c4d01448185be828981a18c4722524240000635b1375,150,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c15c6b91100300803b0553c800bf305b2ff62218d4e1697f0f2a53f63442897f3d722d26a89214a7ad5ab08b2,92
"15, 95, 115, 195, 240, 318, 326, 350, 432, 450",4,0,Mathematica,184,"```mathematica
Sequence[15, 95, 115, 195, 240, 318, 326, 350, 432, 450]
```",75,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d186a63a0a96406c08621882584626063a0ac6861640c2c80c489802b926c64640c2d420962b212101003c7c1311,140,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3334d551b004624343100162199918e828181b5a0009233320610ae49a181b0109530300c338084e,84
"134, 224, 293, 378, 379, 395, 434, 451, 482, 496",4,0,Mathematica,186,"```mathematica
Sequence[134, 224, 293, 378, 379, 395, 434, 451, 482, 496]
```",77,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d186c6263a0a464620c2d25847c1d8dc02445802094b531d051390ac89a92190b03002129666b15c090909006645139a,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c333436d1513032021196c63a0ac6e61620c21248589aea289880644d4c0d8184851190b0340300d7dc08d7,90
"18, 39, 71, 194, 197, 219, 263, 270, 416, 473",4,0,Mathematica,183,"```mathematica
Sequence[18, 39, 71, 194, 197, 219, 263, 270, 416, 473]
```",74,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d186163a0ac6963a0ae6863a0a86962620c25c47c1c810286464660c24cc0d74144c0ccd8084b9712c57424202002b9b12f5,148,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33b4d05130b6d4513037d45130b4340111e63a0a4686402123336320616ea0a36062680624cc8d01bc1f0832,92
"34, 92, 164, 165, 209, 296, 414, 456, 467, 494",4,0,Mathematica,184,"```mathematica
Sequence[34, 92, 164, 165, 209, 296, 414, 456, 467, 494]
```",75,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1c6263a0a96463a0a86662620c25447c1c8c01248589ae928981802c54c4c412c337320616912cb95909000003e57132f,146,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3336d151b034d2513034330111a63a0a46069640c2d24c47c1c4102866620a62999903094b1300c47d086c,90
"8, 11, 12, 103, 116, 196, 247, 254, 389, 427",4,0,Mathematica,182,"```mathematica
FindSequenceFunction[{8, 11, 12, 103, 116, 196, 247, 254, 389, 427}, n]
```",90,0.5,0,1,0,0,0,"8, 11, 12, 103, 116, 196, 247, 254, 389, 427, 11",False,4,"```mathematica
FindSequenceFunction[{}, n]
```",46,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5163a0a8686406c04c406c6208e1990b004124626e640c2d44447c1d8c25247c1c4c8bc5647212f962b21210100143d192b,174,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5b53a0a79b15c090909009f36113d,104,789cb3d05130340462232036300671cc808425903032310712a6263a0ac616963a0a2646e600afc507ef,84
"12, 36, 96, 119, 171, 213, 221, 232, 363, 451",4,0,Mathematica,183,"```mathematica
FindSequenceFunction[{12, 36, 96, 119, 171, 213, 221, 232, 363, 451}, n]
```",91,0.5,0,1,0,0,0,"12, 36, 96, 119, 171, 213, 221, 232, 363, 451, 11",False,4,"```mathematica
FindSequenceFunction[{}, n]
```",46,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d586463a0ac6663a0a96406c68680924cc0d75148c0c8d81841188650c5600e49a981ad6ea28e4c57225242400002db01950,174,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5b53a0a79b15c090909009f36113d,104,789c3334d2513036d351b0046243434b20616ea8a36064680c248c402c63b00220d7c4d41000b96d0814,84
"38, 91, 142, 197, 215, 313, 316, 319, 423, 466",4,0,Mathematica,184,"```mathematica
Sequence[38, 91, 142, 197, 215, 313, 316, 319, 423, 466]
```",75,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1c6163a0a96863a0a86264640c2d25c47c1c8d05447c1d8d018449881084b1d05132320d7c4cc2c962b212101003d24131c,148,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33b6d051b034d451303431021296e63a0a4686a63a0ac686c620c20c4458ea28981801b926666600c3a90859,92
"7, 42, 147, 201, 213, 248, 310, 332, 436, 479",4,0,Mathematica,183,"```mathematica
Sequence[7, 42, 147, 201, 213, 248, 310, 332, 436, 479]
```",74,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1e63a0a26463a0a86264086918121903034061226163a0ac6860640c218286b626c0624cc2d63b912121200279012dd,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c0dc9b11100300802c055188042c48bc9fe8b85e69b5f629ad02cd1a52087b98455c1d9f109fb3eb88c081a,90
"72, 106, 139, 165, 171, 192, 199, 429, 453, 477",4,0,Mathematica,185,"```mathematica
Sequence[72, 106, 139, 165, 171, 192, 199, 429, 453, 477]
```",76,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1e6463a0a86066640c2d8124898990209734320610992b0048a99188108536320616e1ecb95909000005121135e,140,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3337d2513034300312c69640c2cc1448981b02094b90842550ccc40844981a0309737300cd20089b,84
"187, 218, 260, 295, 301, 314, 379, 410, 452, 469",4,0,Mathematica,186,"```mathematica
Sequence[187, 218, 260, 295, 301, 314, 379, 410, 452, 469]
```",77,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d18616e63a0a46861640c2cc0048589aea28181b180209431320616ea9a36062089430313502126696b15c09090900648f1385,150,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c0dc9390100300803402b086020942ffe8d35cb2d875bb7c48909c1767b0181124bb782a23ac5f003d68f08c2,92
"29, 63, 95, 140, 150, 190, 221, 437, 482, 491",4,0,Mathematica,183,"```mathematica
Sequence[29, 63, 95, 140, 150, 190, 221, 437, 482, 491]
```",74,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d146963a0a66c63a0a96a63a0a86260640c214445802092323431d0513637320616104242c0d63b912121200299a12e6,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c15c4b10100200803b0577a400729a0f2ff63d60cd1103b8969226ab9fe8d9382a83ceeca4d3cba690823,88
"3, 11, 84, 144, 156, 177, 188, 199, 229, 284",4,0,Mathematica,182,"```mathematica
Sequence[3, 11, 84, 144, 156, 177, 188, 199, 229, 284]
```",73,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1c63a0a86863a0a162640da0444989a0109737320616101242c2d75148c8c408485492c574242020016e012c4,138,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33d6513034d451b03001d22620c2d40c48989b03090b0b206169a9a3606404222c4c00b1950801,82
"26, 94, 98, 137, 176, 301, 323, 330, 372, 444",4,0,Mathematica,183,"```mathematica
Sequence[26, 94, 98, 137, 176, 301, 323, 330, 372, 444]
```",74,0.5,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d146663a0a9626406ca1a360686c0e24cc8122c6068640c2c81848181b000973231d0513139358ae848404002afe12e9,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3332d351b03401620b1d0543637320610e14313630041246c640c2d80048981be9289898980000bbbe0826,90
"20, 48, 95, 234, 282, 296, 352, 402, 428, 481",4,0,Mathematica,183,"```mathematica
Sequence[20, 48, 95, 234, 282, 296, 352, 402, 428, 481]
```",74,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d146063a0a26163a0a96a63a0a46c62640c2c20848589ae928189b0259260620c2c802a4ca30962b212101002a4c12ed,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3332d05130b1d051b034d5513032360112164640c2d24c47c1d814c832310011461620558600baf8082a,88
"62, 98, 130, 154, 290, 315, 324, 385, 408, 447",4,0,Mathematica,184,"```mathematica
FindSequenceFunction[{62, 98, 130, 154, 290, 315, 324, 385, 408, 447}, n]
```",92,0.2,0,1,0,0,0,"62, 98, 130, 154, 290, 315, 324, 385, 408, 447, 11",False,4,"```mathematica
FindSequenceFunction[{}, n]
```",46,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d566463a0a96163a0a86c60640c2d44447c1c812c832363405124640aeb10590656200546262625eaba39017cb959090000048e91998,182,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5b53a0a79b15c090909009f36113d,104,789c3333d251b0b4d0513034360012a6263a0a46964096b1a129903002728d2d802c1303a01213137300c3a0085c,92
"2, 42, 66, 102, 153, 195, 201, 252, 306, 396",4,0,Mathematica,182,"```mathematica
FindSequenceFunction[{2, 42, 66, 102, 153, 195, 201, 252, 306, 396}, n]
```",90,0.2,0,1,0,0,0,"2, 42, 66, 102, 153, 195, 201, 252, 306, 396, 11",False,4,"```mathematica
FindSequenceFunction[{}, n]
```",46,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5463a0a26406c66a6a360680064189a1a03094b531d0523034320610a14333600ca1a5b9ad5ea28e4c572252424000013a5191f,178,789c4b4848c84d2cc948051299c9895c6e997929c1a985a5a979c9a96ea579c92599f979d1d5b53a0a79b15c090909009f36113d,104,789c33d2513031d2513033d351303400320c4d8d8184a5a98e829181219030058a191b00658d2dcd00af9907e3,90
"48, 94, 176, 177, 219, 276, 282, 283, 459, 488",4,0,Mathematica,184,"```mathematica
Sequence[48, 94, 176, 177, 219, 276, 282, 283, 459, 488]
```",75,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d126163a0a96263a0a86e66620c25c47c1c8d0124880b846164620c25847c1c4142866626111cb959090000040bd1340,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33b1d051b034d1513034370311e63a0a4686964002c435b2300211c63a0a26a64031130b0b00c68e087d,88
"134, 224, 293, 378, 379, 395, 434, 451, 482, 496",4,0,Mathematica,186,"```mathematica
Sequence[134, 224, 293, 378, 379, 395, 434, 451, 482, 496]
```",77,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d186c6263a0a464620c2d25847c1d8dc02445802094b531d051390ac89a92190b03002129666b15c090909006645139a,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c333436d1513032021196c63a0ac6e61620c21248589aea289880644d4c0d8184851190b0340300d7dc08d7,90
"23, 93, 142, 145, 245, 266, 296, 317, 428, 495",4,0,Mathematica,184,"```mathematica
Sequence[23, 93, 142, 145, 245, 266, 296, 317, 428, 495]
```",75,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d146c63a0a96406c686204224c75148cc084991990b00412c686e63a0a26461640c2d234962b212101003d2a1327,140,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3332d651b004624313231061aaa3600426cccc80842590303634d7513031b2001296a600c3780864,84
"18, 39, 71, 194, 197, 219, 263, 270, 416, 473",4,0,Mathematica,183,"```mathematica
Sequence[18, 39, 71, 194, 197, 219, 263, 270, 416, 473]
```",74,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d186163a0ac6963a0ae6863a0a86962620c25c47c1c810286464660c24cc0d74144c0ccd8084b9712c57424202002b9b12f5,148,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33b4d05130b6d4513037d45130b4340111e63a0a4686402123336320616ea0a36062680624cc8d01bc1f0832,92
"9, 84, 144, 170, 325, 393, 401, 405, 435, 497",4,0,Mathematica,183,"```mathematica
Sequence[9, 84, 144, 170, 325, 393, 401, 405, 435, 497]
```",74,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1963a0a16263a0a862620c2dc4047c1d8c81448581aeb28981818820820d7c41844589ac77225242400002a0612ed,142,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789cb3d451b030d15130340111e6063a0ac646a640c2d25847c1c4c0104400b926c620c2d21c00bab2082a,86
"34, 92, 164, 165, 209, 296, 414, 456, 467, 494",4,0,Mathematica,184,"```mathematica
Sequence[34, 92, 164, 165, 209, 296, 414, 456, 467, 494]
```",75,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1c6263a0a96463a0a86662620c25447c1c8c01248589ae928981802c54c4c412c337320616912cb95909000003e57132f,146,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3336d151b034d2513034330111a63a0a46069640c2d24c47c1c4102866620a62999903094b1300c47d086c,90
"8, 11, 12, 103, 116, 196, 247, 254, 389, 427",4,0,Mathematica,182,"```mathematica
Sequence[8, 11, 12, 103, 116, 196, 247, 254, 389, 427]
```",73,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1163a0a8686406c04c406c6208e1990b004124626e640c2d44447c1d8c25247c1c4c83c962b2121010014b612b2,140,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789cb3d05130340462232036300671cc808425903032310712a6263a0ac616963a0a2646e600afc507ef,84
"38, 91, 142, 197, 215, 313, 316, 319, 423, 466",4,0,Mathematica,184,"```mathematica
Sequence[38, 91, 142, 197, 215, 313, 316, 319, 423, 466]
```",75,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1c6163a0a96863a0a86264640c2d25c47c1c8d05447c1d8d018449881084b1d05132320d7c4cc2c962b212101003d24131c,148,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33b6d051b034d451303431021296e63a0a4686a63a0ac686c620c20c4458ea28981801b926666600c3a90859,92
"7, 42, 147, 201, 213, 248, 310, 332, 436, 479",4,0,Mathematica,183,"```mathematica
Sequence[7, 42, 147, 201, 213, 248, 310, 332, 436, 479]
```",74,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1e63a0a26463a0a86264086918121903034061226163a0ac6860640c218286b626c0624cc2d63b912121200279012dd,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c0dc9b11100300802c055188042c48bc9fe8b85e69b5f629ad02cd1a52087b98455c1d9f109fb3eb88c081a,90
"4, 11, 29, 106, 214, 283, 296, 298, 360, 497",4,0,Mathematica,182,"```mathematica
Sequence[4, 11, 29, 106, 214, 283, 296, 298, 360, 497]
```",73,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1263a0a86863a0a469640dac00cc830048a1859188384405c4b0b1d056333031d05134bf358ae8484040015d012bd,142,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33d1513034d45130b204d206664086a10990b030060981b896163a0ac666063a0a2696e600b0a807fa,86
"72, 106, 139, 165, 171, 192, 199, 429, 453, 477",4,0,Mathematica,185,"```mathematica
Sequence[72, 106, 139, 165, 171, 192, 199, 429, 453, 477]
```",76,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1e6463a0a86066640c2d8124898990209734320610992b0048a99188108536320616e1ecb95909000005121135e,140,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3337d2513034300312c69640c2cc1448981b02094b90842550ccc40844981a0309737300cd20089b,84
"187, 218, 260, 295, 301, 314, 379, 410, 452, 469",4,0,Mathematica,186,"```mathematica
Sequence[187, 218, 260, 295, 301, 314, 379, 410, 452, 469]
```",77,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d18616e63a0a46861640c2cc0048589aea28181b180209431320616ea9a36062089430313502126696b15c09090900648f1385,150,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c0dc9390100300803402b086020942ffe8d35cb2d875bb7c48909c1767b0181124bb782a23ac5f003d68f08c2,92
"3, 11, 84, 144, 156, 177, 188, 199, 229, 284",4,0,Mathematica,182,"```mathematica
Sequence[3, 11, 84, 144, 156, 177, 188, 199, 229, 284]
```",73,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1c63a0a86863a0a162640da0444989a0109737320616101242c2d75148c8c408485492c574242020016e012c4,138,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c33d6513034d451b03001d22620c2d40c48989b03090b0b206169a9a3606404222c4c00b1950801,82
"26, 94, 98, 137, 176, 301, 323, 330, 372, 444",4,0,Mathematica,183,"```mathematica
Sequence[26, 94, 98, 137, 176, 301, 323, 330, 372, 444]
```",74,0.2,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d146663a0a9626406ca1a360686c0e24cc8122c6068640c2c81848181b000973231d0513139358ae848404002afe12e9,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3332d351b03401620b1d0543637320610e14313630041246c640c2d80048981be9289898980000bbbe0826,90
"24, 26, 36, 40, 184, 226, 244, 384, 391, 423",4,0,Mathematica,182,"```mathematica
Sequence[24, 26, 36, 40, 184, 226, 244, 384, 391, 423]
```",73,0.001,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d146263a0a46663a0ac6406c62a0a360680112008918990059c620aeb1a52150d2c838962b21210100162712b1,138,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3332d1513032d35130066213031d05430b900048c4c804c83206718d2d0d819246c600b13b07ee,82
"20, 48, 95, 234, 282, 296, 352, 402, 428, 481",4,0,Mathematica,183,"```mathematica
Sequence[20, 48, 95, 234, 282, 296, 352, 402, 428, 481]
```",74,0.001,0,1,0,0,0,Execution error,False,50000,"```mathematica
Sequence[]
```",29,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d146063a0a26163a0a96a63a0a46c62640c2c20848589ae928189b0259260620c2c802a4ca30962b212101002a4c12ed,144,789c4b4848c84d2cc948051299c9895cc1a985a5a979c9a9d1b15c09090900a6ce0ac4,70,789c3332d05130b1d051b034d5513032360112164640c2d24c47c1d814c832310011461620558600baf8082a,88
