sequence,Complexity,gemini_script_1,gemini_script_2,claude-3-5-sonnet_script_1,claude-3-5-sonnet_script_2,claude-3-5-sonnet_script_3,chatgpt-4o_script_1,chatgpt-4o_script_2,mistral_script_1,mistral_script_2,meta_script_1,meta_script_2,o1_mini_script_1,o1_mini_script_2,o1_mini_script_3,cursor_small_script_1,cursor_small_script_2
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"def primes(n):
    primes = []
    for num in range(2, n + 1):
        is_prime = True
        for i in range(2, int(num**0.5) + 1):
            if num % i == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(num)
    return primes
print(primes(30)[:10])","def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True
primes = []
num = 2
while len(primes) < 10:
    if is_prime(num):
        primes.append(num)
    num += 1
print(primes)","def primes(n): return [x for x in range(2,n) if all(x%i!=0 for i in range(2,x))]; print(primes(30))","print([2,3,5,7,11,13,17,19,23,29])",*not found,"print([2,3,5,7,11,13,17,19,23,29])","def primes(n): return [x for x in range(2,n) if all(x%i!=0 for i in range(2,int(x**0.5)+1))]; print(primes(30))","print([i for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]])","for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]: print(i)",primes = []; n = 2; while len(primes) < 10: if all(n % p > 0 for p in primes): primes.append(n); n += 1; print(primes),"[x for x in [2,3,5,7,11,13,17,19,23,29]]","print([x for x in range(2,30) if all(x%i !=0 for i in range(2, int(x**0.5)+1))])",*not found,*not found,"print([2, 3, 5, 7, 11, 13, 17, 19, 23, 29])",*not found
"4, 6, 9, 10, 14, 15, 21, 22, 25, 26",2,*not found,*not found,"print([4,6,9,10,14,15,21,22,25,26])",*not found,*not found,"print([4,6,9,10,14,15,21,22,25,26])",*not found,"print([i for i in [4, 6, 9, 10, 14, 15, 21, 22, 25, 26]])","for i in [4, 6, 9, 10, 14, 15, 21, 22, 25, 26]: print(i)","[x if x%2==0 else x-1 for x in [2,3,5,7,11,13,17,19,23,29]]",primes = []; n = 2; while len(primes) < 10: if all(n % p > 0 for p in primes): primes.append(n+1 if n%2 else n); n += 1; print([p-1 if p%2 else p for p in primes]),*not found,*not found,*not found,"print([4, 6, 9, 10, 14, 15, 21, 22, 25, 26])",*not found
"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",2,"print([int(bin(i)[2:]) for i in range(1, 11)])",*not found,"print([int(''.join(str(i) for i in x)) for x in [[1],[1,0],[1,1],[1,0,0],[1,0,1],[1,1,0],[1,1,1],[1,0,0,0],[1,0,0,1],[1,0,1,0]]])","print([1,10,11,100,101,110,111,1000,1001,1010])",*not found,"print([1,10,11,100,101,110,111,1000,1001,1010])","print([int(''.join(str(i) for i in x)) for x in [[1],[1,0],[1,1],[1,0,0],[1,0,1],[1,1,0],[1,1,1],[1,0,0,0],[1,0,0,1],[1,0,1,0]]])","print([i for i in [1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010]])","for i in [1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010]: print(i)","[int(str(x)+str(x)) for x in range(1,6)] + [int(str(x)+str(x)+str(x)) for x in range(1,5)]","[x100+x for x in range(1,11)]","print([int(bin(i)[2:]) for i in range(1,11)])","print([int(f'{i:b}') for i in range(1,11)])",*not found,"print([int('1' * i, 2) for i in range(1, 11)])","print([1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010])"
"0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683, 234256",2,*not found,*not found,"print([0,1,81,512,2401,4913,5832,17576,19683,234256])",*not found,*not found,"print([0,1,81,512,2401,4913,5832,17576,19683,234256])",*not found,print([i**2 for i in range(10)]),for i in range(10): print(i**2),"[x4 for x in range(1,11)]","[xxxx for x in range(1,11)]",*not found,*not found,*not found,"print([0, 1] + [i**3 for i in range(2, 10)])","print([i**3 for i in range(0, 10)])"
"1, 2, 145, 40585",2,*not found,*not found,def f(n):s=0;[s:=s+int(i)**5 for i in str(n)];return s;n=1;l=[1];while len(l)<4:[l.append(n:=f(n))];print(l),"print([1,2,145,40585])",*not found,"print([1,2,145,40585])",def f(n):s=0;[s:=s+int(i)**5 for i in str(n)];return s;n=1;l=[1];while len(l)<4:[l.append(n:=f(n))];print(l),"print([1, 2, 145, 40585])","for i in [1, 2, 145, 40585]: print(i)","[x if x<3 else x3 for x in range(1,11) if x<3 or x>145]",c = 1; n = 0; while n < 8: c = c2 + n%2; n += 1; print([c]),"import math; print([n for n in range(1,50000) if n == sum(math.factorial(int(d)) for d in str(n))])",*not found,*not found,"print([1, 2, 145, 40585])",*not found
"2, 5, 12, 20, 29, 39, 50, 62, 75, 89",2,print([i + (i + 1)**2 for i in range(10)]),"l = []
for i in range(1, 11):
    l.append(i + i * i)
print(l)","print([2,5,12,20,29,39,50,62,75,89])",*not found,*not found,"print([2,5,12,20,29,39,50,62,75,89])",*not found,"print([i for i in [2, 5, 12, 20, 29, 39, 50, 62, 75, 89]])","for i in [2, 5, 12, 20, 29, 39, 50, 62, 75, 89]: print(i)","[x2+1 for x in range(2,11)]","[xx+1 for x in range(2,11)]",*not found,*not found,*not found,"print([2, 5, 12, 20, 29, 39, 50, 62, 75, 89])",*not found
"1, 8, 10, 18, 19, 100, 101, 108, 109, 110",2,*not found,*not found,"print([1,8,10,18,19,100,101,108,109,110])",*not found,*not found,"print([1,8,10,18,19,100,101,108,109,110])",*not found,"print([i for i in [1, 8, 10, 18, 19, 100, 101, 108, 109, 110]])","for i in [1, 8, 10, 18, 19, 100, 101, 108, 109, 110]: print(i)","[int('1'x) for x in range(1,11)]","ones = [1]; for x in range(1,10): ones.append(ones[-1]10+1)",*not found,*not found,*not found,"print([1, 8, 10, 18, 19, 100, 101, 108, 109, 110])",*not found
"3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911",2,"print([2**i - 1 for i in range(1, 11)])","print([(1 << i) - 1 for i in range(1, 11)])","print([2**n-1 for n in [2,3,5,7,11,13,17,19,23,29]])","print([3,7,31,127,2047,8191,131071,524287,8388607,536870911])",*not found,"print([2**n-1 for n in [2,3,5,7,11,13,17,19,23,29]])","print([3,7,31,127,2047,8191,131071,524287,8388607,536870911])","print([2**i - 1 for i in range(1, 11)])","for i in range(1, 11): print(2**i - 1)","[2x-1 for x in range(1,11)]",m = 1; while m < 536870912: m = m*2+1; print([m]),"print([2**p -1 for p in [2,3,5,7,11,13,17,19,23,29]])","primes = [2,3,5,7,11,13,17,19,23,29]; print([2**p -1 for p in primes])","import math; print([2**p -1 for p in [x for x in range(2,30) if all(x%i !=0 for i in range(2, int(math.sqrt(x))+1))]])","print([2**n - 1 for n in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]])",*not found
"1, 2, 4, 8, 16, 23, 28, 38, 58, 89",2,*not found,*not found,"print([1,2,4,8,16,23,28,38,58,89])",*not found,*not found,"print([1,2,4,8,16,23,28,38,58,89])",*not found,"a, b = 1, 2; print([a]); for _ in range(9): a, b = b, a + b + 1; print(a)","a, b = 1, 2; result = [a]; for _ in range(9): a, b = b, a + b + 1; result.append(a); print(result)","import math; [2x-1+math.floor(math.sqrt(x)) for x in range(1,11)]",not found,"print([1,2,4,8,16,23,28,38,58,89])",*not found,*not found,"print([1, 2, 4, 8, 16, 23, 28, 38, 58, 89])",*not found
"1, 2, 4, 8, 15, 26, 42, 64, 93, 129",2,*not found,*not found,"print([1,2,4,8,15,26,42,64,93,129])",*not found,*not found,"print([1,2,4,8,15,26,42,64,93,129])",*not found,"a, b = 1, 2; print([a]); for _ in range(9): a, b = b, a + b + 2; print(a)","a, b = 1, 2; result = [a]; for _ in range(9): a, b = b, a + b + 2; result.append(a); print(result)","[x2+x-1 for x in range(1,11)]","[xx+x-1 for x in range(1,11)]","print([1,2,4,8,15,26,42,64,93,129])",*not found,*not found,"print([1, 2, 4, 8, 15, 26, 42, 64, 93, 129])","a, b = 1, 1; seq = [a, b]; for i in range(8): seq.append(seq[-1] + seq[-2] + (i // 2)); print(seq)"
"1, 5, 12, 22, 35, 51, 70, 92, 117, 145",2,"print([i*(3*i-1)//2 for i in range(1, 11)])","pentagonal = []
for i in range(1, 11):
    pentagonal.append(i * (3 * i - 1) // 2)
print(pentagonal)","print([1,5,12,22,35,51,70,92,117,145])",*not found,*not found,"print([1,5,12,22,35,51,70,92,117,145])",*not found,"a, b = 1, 5; print([a]); for _ in range(9): a, b = b, a + b + 2; print(a)","a, b = 1, 5; result = [a]; for _ in range(9): a, b = b, a + b + 2; result.append(a); print(result)","[x*(x+1)//2+1 for x in range(1,11)]","[x*(x+1)//2+1 for x in range(1,11)]","print([1,5,12,22,35,51,70,92,117,145])",*not found,*not found,"print([1, 5, 12, 22, 35, 51, 70, 92, 117, 145])","seq = [1]; for i in range(1, 10): seq.append(seq[-1] + i + 1); print(seq)"
"0, 1, 1, 2, 1, 2, 2, 3, 1, 3",2,*not found,*not found,print([bin(i).count('1') for i in range(10)]),"print([0,1,1,2,1,2,2,3,1,3])",*not found,print([bin(i).count('1') for i in range(10)]),"print([0,1,1,2,1,2,2,3,1,3])","a, b = 0, 1; print([a]); for _ in range(9): a, b = b, a + b - 1; print(a)","a, b = 0, 1; result = [a]; for _ in range(9): a, b = b, a + b - 1; result.append(a); print(result)","col = [0,1]; [col.append(col[-1]+col[-2]) if x%2 else col.append(col[-2]) for x in range(10)]; col","[0,1]+[int(x) for x in bin(10)[2:]]","print([0,1,1,2,1,2,2,3,1,3])",*not found,*not found,"print([0, 1] + [sum([0, 1][i-1:i+1]) for i in range(2, 10)])","print([0, 1] + [sum([0, 1][i-1:i+1]) for i in range(2, 10)])"
"1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975",2,"def bell(n):
    bell_numbers = [1]
    for i in range(1, n + 1):
        next_bell = sum(bell_numbers[j] * math.comb(i - 1, j) for j in range(i))
        bell_numbers.append(next_bell)
    return bell_numbers

import math
print(bell(9))",*not found,"print([1,2,5,15,52,203,877,4140,21147,115975])",*not found,*not found,"print([1,2,5,15,52,203,877,4140,21147,115975])",*not found,"a, b = 1, 2; print([a]); for _ in range(9): a, b = b, a + b + 3; print(a)","a, b = 1, 2; result = [a]; for _ in range(9): a, b = b, a + b + 3; result.append(a); print(result)","import math; [math.comb(x+2,x-1) for x in range(1,11)]","bell = [1]; for x in range(1,10): bell.append(sum(bell))","from math import comb
bell = [1]
for i in range(1,10):
    bell.append(sum(bell[k] * comb(i-1, k) for k in range(i)))
print(bell)",*not found,*not found,"print([1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975])",*not found
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"def primes(n):
    primes = []
    for num in range(2, n + 1):
        is_prime = True
        for i in range(2, int(num**0.5) + 1):
            if num % i == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(num)
    return primes
print(primes(30)[:10])","def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True
primes = []
num = 2
while len(primes) < 10:
    if is_prime(num):
        primes.append(num)
    num += 1
print(primes)","def primes(n): return [x for x in range(2,n) if all(x%i!=0 for i in range(2,x))]; print(primes(30))","print([2,3,5,7,11,13,17,19,23,29])",*not found,"print([2,3,5,7,11,13,17,19,23,29])","def primes(n): return [x for x in range(2,n) if all(x%i!=0 for i in range(2,int(x**0.5)+1))]; print(primes(30))","print([i for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]])","for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]: print(i)",primes = []; n = 2; while len(primes) < 10: if all(n % p > 0 for p in primes): primes.append(n); n += 1; print(primes),"[x for x in [2,3,5,7,11,13,17,19,23,29]]","print([x for x in range(2,30) if all(x % i !=0 for i in range(2, int(x**0.5)+1))])",*not found,*not found,"print([2, 3, 5, 7, 11, 13, 17, 19, 23, 29])","def is_prime(n): return n > 1 and all(n % i != 0 for i in range(2, int(n**0.5) + 1)); print([x for x in range(30) if is_prime(x)])"
"1, 11, 21, 1211, 111221",2,"a = 1
l = [a]
for i in range(1,10):
    if i%3 == 1:
        a = a * 10 + 1
    else:
        a = a * 10 + (i%10)
    l.append(a)
print(l)",*not found,"def look_and_say(s):return''.join(str(len(list(g)))+k for k,g in groupby(s));s='1';print([s:=look_and_say(s) for _ in range(4)])","print(['1','11','21','1211','111221'])",*not found,"print(['1','11','21','1211','111221'])","def look_and_say(s):return''.join(str(len(list(g)))+k for k,g in groupby(s));s='1';print([s:=look_and_say(s) for _ in range(4)])","def look_and_say(n): s = '1'; for _ in range(n): s = ''.join(str(len(list(g))) + k for k, g in itertools.groupby(s)); return s; import itertools; print([int(look_and_say(i)) for i in range(7)])","def look_and_say(n): s = '1'; for _ in range(n): s = ''.join(str(len(list(g))) + k for k, g in itertools.groupby(s)); return s; import itertools; for i in range(7): print(int(look_and_say(i)))","read = [1,11]; while len(read) < 10: s = ''.join(str(len(a)) + a for a in str(read[-1])); read.append(int(s)); read","nextn = [1,11]; [nextn.append(int(''.join(str(len(str(x)))+str(x) for x in str(nextn[-1])))) for _ in range(8)]","from itertools import groupby
s='1'
for _ in range(4):
    s = ''.join(str(len(list(g))) + k for k, g in groupby(s))
    print(s)",*not found,*not found,"print([1, 11, 21, 1211, 111221])",*not found
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"def primes(n):
    primes = []
    for num in range(2, n + 1):
        is_prime = True
        for i in range(2, int(num**0.5) + 1):
            if num % i == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(num)
    return primes
print(primes(30)[:10])","def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

primes = []
num = 2
while len(primes) < 10:
    if is_prime(num):
        primes.append(num)
    num += 1
print(primes)","def primes(n): return [x for x in range(2,n) if all(x%i!=0 for i in range(2,x))]; print(primes(30))","print([2,3,5,7,11,13,17,19,23,29])",*not found,"print([2,3,5,7,11,13,17,19,23,29])","def primes(n): return [x for x in range(2,n) if all(x%i!=0 for i in range(2,int(x**0.5)+1))]; print(primes(30))","print([i for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]])","for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]: print(i)",primes = []; n = 2; while len(primes) < 10: if all(n % p > 0 for p in primes): primes.append(n); n += 1; print(primes),"[x for x in [2,3,5,7,11,13,17,19,23,29]]","print([x for x in range(2,30) if all(x % i !=0 for i in range(2, int(x**0.5)+1))])",*not found,*not found,"print([2, 3, 5, 7, 11, 13, 17, 19, 23, 29])","def is_prime(n): return n > 1 and all(n % i != 0 for i in range(2, int(n**0.5) + 1)); print([x for x in range(30) if is_prime(x)])"
"1, 2, 4, 8, 16, 32, 64, 128, 256, 512",2,print([2**i for i in range(10)]),print([1 << i for i in range(10)]),print([2**i for i in range(10)]),n=1;print([n:=n*2 for _ in range(10)]),*not found,print([2**i for i in range(10)]),n=1;print([n:=n*2 for _ in range(10)]),print([2**i for i in range(10)]),for i in range(10): print(2**i),[2x for x in range(10)],"pow(2, range(10))",print([2**i for i in range(10)]),print([1 << i for i in range(10)]),*not found,print([2**i for i in range(10)]),print([1 << i for i in range(10)])
"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023",2,"print([2**i - 1 for i in range(1, 11)])","print([(1 << i) - 1 for i in range(1, 11)])","print([2**i-1 for i in range(1,11)])","print([1,3,7,15,31,63,127,255,511,1023])",*not found,"print([2**i-1 for i in range(1,11)])","print([1,3,7,15,31,63,127,255,511,1023])",print([2**i - 1 for i in range(10)]),for i in range(10): print(2**i - 1),"[2x-1 for x in range(1,11)]","[2*x-1 for x in range(1,11)]","print([2**i -1 for i in range(1,11)])","print([(1 << i) -1 for i in range(1,11)])",*not found,print([2**i - 1 for i in range(10)]),print([2**i - 1 for i in range(10)])
"29, 57, 68, 120, 134, 140, 173, 197, 283, 313",3,*not found,*not found,"print([29,57,68,120,134,140,173,197,283,313])",*not found,*not found,*not found,"print([29,57,68,120,134,140,173,197,283,313])",*not found,*not found,"[29x+57 for x in range(1,11)]",not found,"print([29,57,68,120,134,140,173,197,283,313])",*not found,*not found,"print([29, 57, 68, 120, 134, 140, 173, 197, 283, 313])",*not found
"24, 26, 36, 40, 184, 226, 244, 384, 391, 423",3,*not found,*not found,"print([24,26,36,40,184,226,244,384,391,423])",*not found,*not found,*not found,"print([24,26,36,40,184,226,244,384,391,423])",*not found,*not found,"[x2-2x+24 for x in range(1,11)]",not found,"print([24,26,36,40,184,226,244,384,391,423])",*not found,*not found,"print([24, 26, 36, 40, 184, 226, 244, 384, 391, 423])",*not found
"90, 203, 212, 235, 270, 324, 342, 352, 371, 417",3,*not found,*not found,"print([90,203,212,235,270,324,342,352,371,417])",*not found,*not found,*not found,"print([90,203,212,235,270,324,342,352,371,417])",*not found,*not found,"[x3-3x2+92x-90 for x in range(1,11)]",not found,"print([90,203,212,235,270,324,342,352,371,417])",*not found,*not found,"print([90, 203, 212, 235, 270, 324, 342, 352, 371, 417])",*not found
"20, 48, 95, 234, 282, 296, 352, 402, 428, 481",3,*not found,*not found,"print([20,48,95,234,282,296,352,402,428,481])",*not found,*not found,*not found,"print([20,48,95,234,282,296,352,402,428,481])",*not found,*not found,"[x3-3x2+20x+20 for x in range(1,11)]",not found,"print([20,48,95,234,282,296,352,402,428,481])",*not found,*not found,"print([20, 48, 95, 234, 282, 296, 352, 402, 428, 481])",*not found
"62, 98, 130, 154, 290, 315, 324, 385, 408, 447",3,*not found,*not found,"print([62,98,130,154,290,315,324,385,408,447])",*not found,*not found,*not found,"print([62,98,130,154,290,315,324,385,408,447])",*not found,*not found,"[x3-3x2+62x+62 for x in range(1,11)]",not found,"print([62,98,130,154,290,315,324,385,408,447])",*not found,*not found,"print([62, 98, 130, 154, 290, 315, 324, 385, 408, 447])",*not found
"2, 42, 66, 102, 153, 195, 201, 252, 306, 396",3,*not found,*not found,"print([2,42,66,102,153,195,201,252,306,396])",*not found,*not found,*not found,"print([2,42,66,102,153,195,201,252,306,396])",*not found,*not found,"[x3-3x2+2x+2 for x in range(1,11)]",not found,"print([2,42,66,102,153,195,201,252,306,396])",*not found,*not found,"print([2, 42, 66, 102, 153, 195, 201, 252, 306, 396])",*not found
"128, 151, 153, 217, 224, 332, 382, 400, 450, 478",3,*not found,*not found,"print([128,151,153,217,224,332,382,400,450,478])",*not found,*not found,*not found,"print([128,151,153,217,224,332,382,400,450,478])",*not found,*not found,"[2x3-3x2+151x-128 for x in range(1,11)]",not found,"print([128,151,153,217,224,332,382,400,450,478])",*not found,*not found,"print([128, 151, 153, 217, 224, 332, 382, 400, 450, 478])",*not found
"26, 50, 114, 148, 160, 170, 274, 347, 432, 497",3,*not found,*not found,"print([26,50,114,148,160,170,274,347,432,497])",*not found,*not found,*not found,"print([26,50,114,148,160,170,274,347,432,497])",*not found,*not found,"[x3-3x2+50x+26 for x in range(1,11)]",not found,"print([26,50,114,148,160,170,274,347,432,497])",*not found,*not found,"print([26, 50, 114, 148, 160, 170, 274, 347, 432, 497])",*not found
"48, 94, 176, 177, 219, 276, 282, 283, 459, 488",3,*not found,*not found,"print([48,94,176,177,219,276,282,283,459,488])",*not found,*not found,*not found,"print([48,94,176,177,219,276,282,283,459,488])",*not found,*not found,"[x3-3x2+94x+48 for x in range(1,11)]",not found,"print([48,94,176,177,219,276,282,283,459,488])",*not found,*not found,"print([48, 94, 176, 177, 219, 276, 282, 283, 459, 488])",*not found
"139, 252, 272, 281, 304, 361, 370, 415, 438, 500",3,*not found,*not found,"print([139,252,272,281,304,361,370,415,438,500])",*not found,*not found,*not found,"print([139,252,272,281,304,361,370,415,438,500])",*not found,*not found,"[x3-3x2+139x+252 for x in range(1,11)]",not found,"print([139,252,272,281,304,361,370,415,438,500])",*not found,*not found,"print([139, 252, 272, 281, 304, 361, 370, 415, 438, 500])",*not found
"15, 95, 115, 195, 240, 318, 326, 350, 432, 450",3,*not found,*not found,"print([15,95,115,195,240,318,326,350,432,450])",*not found,*not found,*not found,"print([15,95,115,195,240,318,326,350,432,450])",*not found,*not found,"[x3-3x2+15x+95 for x in range(1,11)]",not found,"print([15,95,115,195,240,318,326,350,432,450])",*not found,*not found,"print([15, 95, 115, 195, 240, 318, 326, 350, 432, 450])",*not found
"134, 224, 293, 378, 379, 395, 434, 451, 482, 496",3,*not found,*not found,"print([134,224,293,378,379,395,434,451,482,496])",*not found,*not found,*not found,"print([134,224,293,378,379,395,434,451,482,496])",*not found,*not found,"[x3-3x2+134x+224 for x in range(1,11)]",not found,"print([134,224,293,378,379,395,434,451,482,496])",*not found,*not found,"print([134, 224, 293, 378, 379, 395, 434, 451, 482, 496])",*not found
"23, 93, 142, 145, 245, 266, 296, 317, 428, 495",3,*not found,*not found,"print([23,93,142,145,245,266,296,317,428,495])",*not found,*not found,*not found,"print([23,93,142,145,245,266,296,317,428,495])",*not found,*not found,"[x3-3x2+23x+93 for x in range(1,11)]",not found,"print([23,93,142,145,245,266,296,317,428,495])",*not found,*not found,"print([23, 93, 142, 145, 245, 266, 296, 317, 428, 495])",*not found
"18, 39, 71, 194, 197, 219, 263, 270, 416, 473",3,*not found,*not found,"print([18,39,71,194,197,219,263,270,416,473])",*not found,*not found,*not found,"print([18,39,71,194,197,219,263,270,416,473])",*not found,*not found,"[x3-3x2+18x+18 for x in range(1,11)]",not found,"print([18,39,71,194,197,219,263,270,416,473])",*not found,*not found,"print([18, 39, 71, 194, 197, 219, 263, 270, 416, 473])",*not found
"9, 84, 144, 170, 325, 393, 401, 405, 435, 497",3,*not found,*not found,"print([9,84,144,170,325,393,401,405,435,497])",*not found,*not found,*not found,"print([9,84,144,170,325,393,401,405,435,497])",*not found,*not found,"[x3-3x2+9x+9 for x in range(1,11)]",not found,"print([9,84,144,170,325,393,401,405,435,497])",*not found,*not found,"print([9, 84, 144, 170, 325, 393, 401, 405, 435, 497])",*not found
"26, 40, 202, 267, 282, 340, 359, 408, 410, 495",3,*not found,*not found,"print([26,40,202,267,282,340,359,408,410,495])",*not found,*not found,*not found,"print([26,40,202,267,282,340,359,408,410,495])",*not found,*not found,"[x3-3x2+26x+26 for x in range(1,11)]",*not found,"print([26,40,202,267,282,340,359,408,410,495])",*not found,*not found,"print([26, 40, 202, 267, 282, 340, 359, 408, 410, 495])",*not found
"34, 92, 164, 165, 209, 296, 414, 456, 467, 494",3,*not found,*not found,"print([34,92,164,165,209,296,414,456,467,494])",*not found,*not found,*not found,"print([34,92,164,165,209,296,414,456,467,494])",*not found,*not found,[34 + 58x for x in range(10)],"import numpy as np; np.linspace(34, 494, 10)","print([34,92,164,165,209,296,414,456,467,494])",*not found,*not found,"print([34, 92, 164, 165, 209, 296, 414, 456, 467, 494])",*not found
"16, 119, 121, 123, 135, 139, 285, 311, 409, 412",3,*not found,*not found,"print([16,119,121,123,135,139,285,311,409,412])",*not found,*not found,*not found,"print([16,119,121,123,135,139,285,311,409,412])",*not found,*not found,[16 + 103x for x in range(10)],"import numpy as np; np.linspace(16, 412, 10)","print([16,119,121,123,135,139,285,311,409,412])",*not found,*not found,"print([16, 119, 121, 123, 135, 139, 285, 311, 409, 412])",*not found
"8, 11, 12, 103, 116, 196, 247, 254, 389, 427",3,*not found,*not found,"print([8,11,12,103,116,196,247,254,389,427])",*not found,*not found,*not found,"print([8,11,12,103,116,196,247,254,389,427])",*not found,*not found,[8 + 419x for x in range(10)],"import numpy as np; np.linspace(8, 427, 10)","print([8,11,12,103,116,196,247,254,389,427])",*not found,*not found,"print([8, 11, 12, 103, 116, 196, 247, 254, 389, 427])",*not found
"12, 36, 96, 119, 171, 213, 221, 232, 363, 451",3,*not found,*not found,"print([12,36,96,119,171,213,221,232,363,451])",*not found,*not found,*not found,"print([12,36,96,119,171,213,221,232,363,451])",*not found,*not found,[12 + 439x for x in range(10)],"import numpy as np; np.linspace(12, 451, 10)","print([12,36,96,119,171,213,221,232,363,451])",*not found,*not found,"print([12, 36, 96, 119, 171, 213, 221, 232, 363, 451])",*not found
"38, 91, 142, 197, 215, 313, 316, 319, 423, 466",3,*not found,*not found,"print([38,91,142,197,215,313,316,319,423,466])",*not found,*not found,*not found,"print([38,91,142,197,215,313,316,319,423,466])",*not found,*not found,[38 + 428x for x in range(10)],"import numpy as np; np.linspace(38, 466, 10)","print([38,91,142,197,215,313,316,319,423,466])",*not found,*not found,"print([38, 91, 142, 197, 215, 313, 316, 319, 423, 466])",*not found
"7, 42, 147, 201, 213, 248, 310, 332, 436, 479",3,*not found,*not found,"print([7,42,147,201,213,248,310,332,436,479])",*not found,*not found,*not found,"print([7,42,147,201,213,248,310,332,436,479])",*not found,*not found,[7 + 472x for x in range(10)],"import numpy as np; np.linspace(7, 479, 10)","print([7,42,147,201,213,248,310,332,436,479])",*not found,*not found,"print([7, 42, 147, 201, 213, 248, 310, 332, 436, 479])",*not found
"27, 101, 105, 164, 245, 290, 304, 441, 449, 490",3,*not found,*not found,"print([27,101,105,164,245,290,304,441,449,490])",*not found,*not found,*not found,"print([27,101,105,164,245,290,304,441,449,490])",*not found,*not found,[27 + 463x for x in range(10)],"import numpy as np; np.linspace(27, 490, 10)","print([27,101,105,164,245,290,304,441,449,490])",*not found,*not found,"print([27, 101, 105, 164, 245, 290, 304, 441, 449, 490])",*not found
"4, 11, 29, 106, 214, 283, 296, 298, 360, 497",3,*not found,*not found,"print([4,11,29,106,214,283,296,298,360,497])",*not found,*not found,*not found,"print([4,11,29,106,214,283,296,298,360,497])",*not found,*not found,[4 + 493x for x in range(10)],"import numpy as np; np.linspace(4, 497, 10)","print([4,11,29,106,214,283,296,298,360,497])",*not found,*not found,"print([4, 11, 29, 106, 214, 283, 296, 298, 360, 497])",*not found
"72, 106, 139, 165, 171, 192, 199, 429, 453, 477",3,*not found,*not found,"print([72,106,139,165,171,192,199,429,453,477])",*not found,*not found,*not found,"print([72,106,139,165,171,192,199,429,453,477])",*not found,*not found,[72 + 405x for x in range(10)],"import numpy as np; np.linspace(72, 477, 10)","print([72,106,139,165,171,192,199,429,453,477])",*not found,*not found,"print([72, 106, 139, 165, 171, 192, 199, 429, 453, 477])",*not found
"187, 218, 260, 295, 301, 314, 379, 410, 452, 469",3,*not found,*not found,"print([187,218,260,295,301,314,379,410,452,469])",*not found,*not found,*not found,"print([187,218,260,295,301,314,379,410,452,469])",*not found,*not found,[187 + 282x for x in range(10)],"import numpy as np; np.linspace(187, 469, 10)","print([187,218,260,295,301,314,379,410,452,469])",*not found,*not found,"print([187, 218, 260, 295, 301, 314, 379, 410, 452, 469])",*not found
"29, 63, 95, 140, 150, 190, 221, 437, 482, 491",3,*not found,*not found,"print([29,63,95,140,150,190,221,437,482,491])",*not found,*not found,*not found,"print([29,63,95,140,150,190,221,437,482,491])",*not found,*not found,[29 + 462x for x in range(10)],"import numpy as np; np.linspace(29, 491, 10)","print([29,63,95,140,150,190,221,437,482,491])",*not found,*not found,"print([29, 63, 95, 140, 150, 190, 221, 437, 482, 491])",*not found
"3, 11, 84, 144, 156, 177, 188, 199, 229, 284",3,*not found,*not found,"print([3,11,84,144,156,177,188,199,229,284])",*not found,*not found,*not found,"print([3,11,84,144,156,177,188,199,229,284])",*not found,*not found,[3 + 281x for x in range(10)],"import numpy as np; np.linspace(3, 284, 10)","print([3,11,84,144,156,177,188,199,229,284])",*not found,*not found,"print([3, 11, 84, 144, 156, 177, 188, 199, 229, 284])",*not found
