sequence,complexity,Fuckbrain,Brainfuck,python,Pseudocode,Malbolge,Shakespeare,Whitespace,Befunge,LOLCODE,INTERCAL
"[1, 6, 1, 8, 0, 3, 3, 9, 8, 8, 7]",3,"[FUck
FUCKFUCK
FUck]",[+>++++[<++++>-]<.>+.--.>.<<-.>+++.<.>---.<<.>>----.<+.>>--.<<.>>+++.<.],"[sequence = [1, 6, 1]
for i in range(3, 11):
    if i % 2 == 0:
        sequence.append(sequence[-1] - 1)
    else:
        sequence.append(sequence[-2] % 10)
print(*sequence)]","""For the sequence 1, 6, 1, 8, 0, 3, 3, 9, 8, 8, 7:
    Initialize array sequence with values [1, 6, 1, 8, 0, 3, 3, 9, 8, 8, 7]
    For i = 4 to 11:
        sequence[i] = sequence[i-3] - sequence[i-4]
    Print sequence""","(=BAq)(=CB}(=<`#9]!~xwvut,+O/'TSRqponmlkjihgfeba`_^]\[ZYXWVUMLJI]!`EDCBA@?>=<;:9876543s+)(!&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 1.
    You is the sum of me and 0.
    You is the sum of me and 8.
    You is the sum of me and 3.
    You is the sum of me and 3.
    You is the sum of me and 4.
    You is the sum of me and 1.
    You is the sum of me and 0.
    You is the sum of me and 2.
    You is the sum of me and 3.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Tab][Space][Tab]
[Space][Space][Tab][Space][Space][Tab]
[Space][Tab][Space][Space][Tab][Tab]
[Space][Tab][Tab][Tab][Tab]
[Space][Tab][Space][Tab]
[Space][Space][Space][Space][Space]
[Space][Space][Tab][Tab]
[Space][Space][Tab][Tab][Tab]
[Space][Space][Tab][Tab][Tab]
[Space][Space][Tab][Tab][Space]""","""""1""0p   v
v"" ""v
 v""6""v
 v"" ""v
 v""1""v
 v"" ""v
 v""8""v
 v""0""v
 v"" ""v
 v""3""v
 v""3""v
 v""9""v
 v""8""v
 v""8""v
 v""7""v
 >0_:.10g!#v_:0-1<""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""6""
VISIBLE ""1""
VISIBLE ""8""
VISIBLE ""0""
VISIBLE ""3""
VISIBLE ""3""
VISIBLE ""9""
VISIBLE ""8""
VISIBLE ""8""
VISIBLE ""7""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(6) #6
DO READ OUT(1) #1
DO READ OUT(8) #8
DO READ OUT(0) #0
DO READ OUT(3) #3
DO READ OUT(3) #3
DO READ OUT(9) #9
DO READ OUT(8) #8
DO READ OUT(8) #8
DO READ OUT(7) #7
PLEASE GIVE UP"""
"[1, 1, 4, 9, 4, 2, 0, 4, 4, 8, 5]",3,"[FUck
FUCKFUck
FUCK]",[++>+[<->++++]<--->-----.+>.---.<++.>+.<<-.>---.<--.>++++.<<.>>+++.<<+.>>---.<<.>>+++.<.],"[sequence = [1, 1]
for i in range(2, 12):
    if i % 2 == 0:
        sequence.append(i // 2)
    else:
        sequence.append(sequence[-2] ** 2 % 10)
print(*sequence)]","""For the sequence 1, 1, 4, 9, 4, 2, 0, 4, 4, 8, 5:
    Initialize array sequence with values [1, 1, 4, 9, 4, 2, 0, 4, 4, 8, 5]
    For i = 5 to 11:
        If i is even:
            sequence[i] = sequence[i-1] - sequence[i-2]
        Else:
            sequence[i] = sequence[i-2] + sequence[i-3]
    Print sequence""","(=<`!)+&%$#`""!zyxwv","""The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 4.
    You is the sum of me and 9.
    You is the sum of me and 4.
    You is the sum of me and 2.
    You is the sum of me and 0.
    You is the sum of me and 4.
    You is the sum of me and 4.
    You is the sum of me and 8.
    You is the sum of me and 5.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Space][Space][Space][Tab]
[Space][Space][Tab][Tab]
[Space][Space][Tab][Space][Space]
[Space][Space][Tab][Tab]
[Space][Tab]
[Space][Space][Space][Tab][Space]
[Space][Space][Tab][Tab]
[Space][Space][Tab][Tab]
[Space][Space][Tab][Space][Tab]
[Space][Space][Space][Space][Tab]""","""11p   v
1v"" ""v
 v"" ""v
 v""1""v
 v"" ""v
 v""4""v
 v"" ""v
 v""9""v
 v"" ""v
 v""4""v
 v"" ""v
 v""2""v
 v""0""v
 v"" ""v
 v""4""v
 v"" ""v
 v""4""v
 v"" ""v
 v""8""v
 v"" ""v
 v""5""v
 >0_:.10g!#v_:0-1<""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""1""
VISIBLE ""4""
VISIBLE ""9""
VISIBLE ""4""
VISIBLE ""2""
VISIBLE ""0""
VISIBLE ""4""
VISIBLE ""4""
VISIBLE ""8""
VISIBLE ""5""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(1) #1
DO READ OUT(4) #4
DO READ OUT(9) #9
DO READ OUT(4) #4
DO READ OUT(2) #2
DO READ OUT(0) #0
DO READ OUT(4) #4
DO READ OUT(4) #4
DO READ OUT(8) #8
DO READ OUT(5) #5
PLEASE GIVE UP"""
"[2, 0, 9, 4, 5, 5, 1, 4, 8, 1, 5]",3,"[FUCk
FUCKFUck
FUCK]",[++[->++++<]>+.>+.--.>.<<<+.>>>+.<<<<+++++.--.>-.>>++.<<--.>+++++.<<<-.>>>----.<+++.],"[sequence = [2, 0]
for i in range(2, 12):
    if i % 2 == 0:
        sequence.append(sequence[-2] * 2)
    else:
        sequence.append(sequence[-2] + sequence[-1])
print(*sequence)]","""For the sequence 2, 0, 9, 4, 5, 5, 1, 4, 8, 1, 5:
    Initialize array sequence with values [2, 0, 9, 4, 5, 5, 1, 4, 8, 1, 5]
    For i = 3 to 10:
        sequence[i] = sequence[i-1] * sequence[i-3] - sequence[i-4]
    Print sequence""","(*0""!zyxwvutsrqpon","""The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 2.
    You is the sum of me and 0.
    You is the sum of me and 9.
    You is the sum of me and 4.
    You is the sum of me and 5.
    You is the sum of me and 5.
    You is the sum of me and 1.
    You is the sum of me and 4.
    You is the sum of me and 8.
    You is the sum of me and 1.
    You is the sum of me and 5.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Space][Space][Space][Space]
[Space][Space][Tab][Tab]
[Space][Space][Tab][Space][Space]
[Space][Space][Tab][Tab]
[Space][Tab]
[Space][Tab][Space][Space]
[Space][Space][Tab][Tab]
[Space][Space][Tab][Space][Tab]
[Space][Tab]
[Space][Space][Tab][Tab]""","""20p   v
1v"" ""v
 v"" ""v
 v""0""v
 v"" ""v
 v""9""v
 v"" ""v
 v""4""v
 v"" ""v
 v""5""v
 v"" ""v
 v""5""v
 v"" ""v
 v""1""v
 v"" ""v
 v""4""v
 v"" ""v
 v""8""v
 v"" ""v
 v""1""v
 v"" ""v
 v""5""v
 >0_:.10g!#v_:0-1<""","""HAI 1.2
VISIBLE ""2""
VISIBLE ""0""
VISIBLE ""9""
VISIBLE ""4""
VISIBLE ""5""
VISIBLE ""5""
VISIBLE ""1""
VISIBLE ""4""
VISIBLE ""8""
VISIBLE ""1""
VISIBLE ""5""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(2) #2
DO READ OUT(0) #0
DO READ OUT(9) #9
DO READ OUT(4) #4
DO READ OUT(5) #5
DO READ OUT(5) #5
DO READ OUT(1) #1
DO READ OUT(4) #4
DO READ OUT(8) #8
DO READ OUT(1) #1
DO READ OUT(5) #5
PLEASE GIVE UP"""
"[1, 11, 21, 1211, 111221, 312211, 13112221, 1113213211]",3,"[FUck
FUCKFUck
FUCK]",[+>++[-<+++++++>]<[->+<]>+.>+.<<[->>+<<]<[->+<]>----.<+..>>[->++++++<<]>.<<[->>+<<]<.>>++++++++++.<],"[sequence = [""1""]
for _ in range(7):
    prev = sequence[-1]
    count = 1
    next_term = """"
    for i in range(1, len(prev)):
        if prev[i] == prev[i - 1]:
            count += 1
        else:
            next_term += str(count) + prev[i - 1]
            count = 1
    next_term += str(count) + prev[-1]
    sequence.append(next_term)
print(*sequence)]","""For the sequence 1, 11, 21, 1211, 111221, 312211, 13112221, 1113213211:
    Initialize string sequence with value ""1""
    For i = 2 to 8:
        Initialize variables count = 1 and temp = """"
        For j = 2 to length of sequence:
            If sequence[j] == sequence[j-1]:
                Increment count
            Else:
                Append count and sequence[j-1] to temp
                Reset count to 1
        Append count and last element of sequence to temp
        Assign temp to sequence
    Print sequence!",(=BA#)9]~6;9876543,"""The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 0.
    You is the sum of me and 1.
    You is the sum of me and 2.
    You is the sum of me and 2.
    You is the sum of me and 2.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 3.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Tab][Space][Tab][Tab][Tab]
[Space][Tab][Space][Space][Space][Tab]
[Space][Space][Tab][Space][Space][Tab][Tab][Tab][Tab][Space][Space][Tab]
[Space][Space][Tab][Space][Space][Space][Tab][Tab][Tab][Tab][Space][Tab][Tab]
[Space][Tab][Tab][Tab][Tab][Tab][Space][Tab][Space][Space][Space][Tab]
[Space][Space][Tab][Space][Space][Tab][Tab][Tab][Tab][Space][Tab][Space][Tab][Space]
[Space][Space][Space][Tab][Tab][Space][Tab][Space][Space][Tab][Tab][Tab][Space][Tab][Tab][Tab][Space]""","""11p   v
1v"" ""v
 v"" ""v
 v""1""v
 v"" ""v
 v""1""v
 v""1""v
 v""1""v
 v"" ""v
 v""2""v
 v""1""v
 v"" ""v
 v""1""v
 v""2""v
 v""2""v
 v""1""v
 v"" ""v
 v""3""v
 v""1""v
 v"" ""v
 v""1""v
 v"" ""v
 v""3""v
 v""2""v
 v""2""v
 v""1""v
 >0_:.10g!#v_:0-1<""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""11""
VISIBLE ""21""
VISIBLE ""1211""
VISIBLE ""111221""
VISIBLE ""312211""
VISIBLE ""13112221""
VISIBLE ""1113213211""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(11) #11
DO READ OUT(21) #21
DO READ OUT(1211) #1211
DO READ OUT(111221) #111221
DO READ OUT(312211) #312211
DO READ OUT(13112221) #13112221
DO READ OUT(1113213211) #1113213211
PLEASE GIVE UP"""
"[2, 3, 5, 11, 23, 29, 41, 53, 83, 89, 113, 131]",3,"[FUCK
FUCKFUCKFUck
FUCK]",[++>+[<->++]<++.>+++.<<.>>----.>-.<<<.>>>>--.<<<.>>>+++.<<.>>------.>---.<<<.>>>+++++.<<.>>-----.>---.],"[primes = [2]
current = 3
while len(primes) < 12:
    for i in range(2, int(current ** 0.5) + 1):
        if current % i == 0:
            break
    else:
        primes.append(current)
    current += 2
print(*primes)]","""For the sequence 2, 3, 5, 11, 23, 29, 41, 53, 83, 89, 113, 131:
    For i = 2 to 11:
        Let n be the current number
        Find the next prime number after n
        Print the prime number""",(=BA#)9]~6;9876543,"""The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 2.
    You is the sum of me and 1.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 3.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 4.
    You is the sum of me and 2.
    You is the sum of me and 0.
    You is the sum of me and 0.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Tab][Space][Space][Space]
[Space][Tab][Space][Tab]
[Space][Space][Tab][Tab][Tab]
[Space][Space][Tab][Space][Space]
[Space][Space][Tab][Space][Tab]
[Space][Space][Tab][Tab][Tab][Tab]
[Space][Space][Tab][Tab][Space][Tab]
[Space][Space][Tab][Tab][Tab][Tab]
[Space][Space][Tab][Space][Tab][Tab]
[Space][Space][Tab][Tab][Tab][Space][Tab]
[Space][Space][Tab][Tab][Tab][Space][Space]""","""2v          <
 @.10+1    <
2>         v
 @.20+1   <
2>         v
 @.10+2  <
2>         v
 @.20+5 <
2>         v
 @.30+1 <
2>         v
 @.20+1 <""","""HAI 1.2
VISIBLE ""2""
VISIBLE ""3""
VISIBLE ""5""
VISIBLE ""11""
VISIBLE ""23""
VISIBLE ""29""
VISIBLE ""41""
VISIBLE ""53""
VISIBLE ""83""
VISIBLE ""89""
VISIBLE ""113""
VISIBLE ""131""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(2) #2
DO READ OUT(3) #3
DO READ OUT(5) #5
DO READ OUT(11) #11
DO READ OUT(23) #23
DO READ OUT(29) #29
DO READ OUT(41) #41
DO READ OUT(53) #53
DO READ OUT(83) #83
DO READ OUT(89) #89
DO READ OUT(113) #113
DO READ OUT(131) #131
PLEASE GIVE UP"""
"[1, 7, 10, 13, 19, 23, 28, 31, 32, 44]",3,"[FUck
FUCKFUck
FUCK]",[+>+++++[<++>-]<+.>++++++++.<----.>>+.<<++.>>>+.<----.>+++.<<-.>-.<<--.>>++.<.>>+++.<<.],"[sequence = [1]
for i in range(2, 11):
    if i % 2 == 0:
        sequence.append(sequence[-1] + 3)
    else:
        sequence.append(sequence[-1] + 6)
print(*sequence)]","""For the sequence 1, 7, 10, 13, 19, 23, 28, 31, 32, 44:
    Initialize array sequence with values [1, 7, 10, 13, 19, 23, 28, 31, 32, 44]
    For i = 3 to 10:
        If i is divisible by 3:
            sequence[i] = sequence[i-1] + 7
        Else if (i-1) is divisible by 3:
            sequence[i] = sequence[i-1] + 3
        Else:
            sequence[i] = sequence[i-1] + 4
    Print sequence""",(=BA#)9]~6;9876543,"""
The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 1.
    You is the sum of me and 2.
    You is the sum of me and 2.
    You is the sum of me and 2.
    You is the sum of me and 3.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 2.
    You is the sum of me and 1.
    You is the sum of me and 3.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Tab][Tab][Space][Space]
[Space][Tab][Tab][Tab][Space]
[Space][Space][Tab][Space][Space]
[Space][Space][Tab][Tab][Tab]
[Space][Tab][Space][Space][Space]
[Space][Space][Tab][Space][Tab]
[Space][Space][Tab][Tab][Space]
[Space][Space][Tab][Tab][Tab]
[Space][Space][Tab][Space][Space][Tab]
[Space][Space][Tab][Space][Tab][Tab]""","""1v          <
 @.10+6    <
1>         v
 @.10+3   <
1>         v
 @.10+3  <
1>         v
 @.10+6 <
1>         v
 @.10+4 <""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""7""
VISIBLE ""10""
VISIBLE ""13""
VISIBLE ""19""
VISIBLE ""23""
VISIBLE ""28""
VISIBLE ""31""
VISIBLE ""32""
VISIBLE ""44""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(7) #7
DO READ OUT(10) #10
DO READ OUT(13) #13
DO READ OUT(19) #19
DO READ OUT(23) #23
DO READ OUT(28) #28
DO READ OUT(31) #31
DO READ OUT(32) #32
DO READ OUT(44) #44
PLEASE GIVE UP"""
"[0, 1, 4, 10, 20, 35, 56, 84, 120, 165]",3,"[FUck
FUCKFUCKFUCK]",[>++++++++++.>+.<<.>++++.<<.>++++++.<<.>+++++++.<<.>+++++++.<<.>+++++++++.<<.>++++++++++++.<<.>+++++++++++++++.<.],"[sequence = [0, 1]
for i in range(2, 11):
    sequence.append(sequence[-1] + i ** 2)
print(*sequence)]","""For the sequence 0, 1, 4, 10, 20, 35, 56, 84, 120, 165:
    Initialize array sequence with values [0, 1, 4, 10, 20, 35, 56, 84, 120, 165]
    For i = 3 to 10:
        sequence[i] = sequence[i-1] + (i-1)^2
    Print sequence""",(=BA#)9]~6;9876543,"""The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 0.
    You is the sum of me and 1.
    You is the sum of me and 4.
    You is the sum of me and 10.
    You is the sum of me and 20.
    You is the sum of me and 35.
    You is the sum of me and 56.
    You is the sum of me and 84.
    You is the sum of me and 120.
    You is the sum of me and 165.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Tab][Space][Tab][Tab]
[Space][Tab][Tab][Space][Space][Space]
[Space][Space][Tab][Space][Tab][Tab]
[Space][Space][Tab][Space][Tab][Space]
[Space][Space][Tab][Tab][Tab][Tab]
[Space][Tab][Space][Space][Tab][Space]
[Space][Tab][Space][Tab][Tab][Space]
[Space][Tab][Tab][Tab][Space][Space]
[Space][Space][Tab][Tab][Tab][Tab][Tab][Space]""","""0>          v
 @.10+1    <
0>         v
 @.20+3   <
0>         v
 @.30+6  <
0>         v
 @.40+10 <
0>         v
 @.50+15 <""","""HAI 1.2
VISIBLE ""0""
VISIBLE ""1""
VISIBLE ""4""
VISIBLE ""10""
VISIBLE ""20""
VISIBLE ""35""
VISIBLE ""56""
VISIBLE ""84""
VISIBLE ""120""
VISIBLE ""165""
KTHXBYE""","""DO ,1 <- #0
DO ,2 <- #0
DO ,3 <- #1
DO READ OUT ,1
PLEASE DO GIVE UP
DO GIVE UP
PLEASE DO READ OUT ,1
PLEASE DO ,3 <- #0
PLEASE READ OUT ,2
PLEASE READ OUT ,3
PLEASE READ OUT ,3
PLEASE DO ,1 <- #0
PLEASE DO ,2 <- #0
DO GIVE UP
PLEASE DO READ OUT ,3
PLEASE DO READ OUT ,1
PLEASE DO ,3 <- #1
PLEASE READ OUT ,2
DO ,1 <- ,1 + ,2
DO ,2 <- ,2 + #1
DO GIVE UP
PLEASE DO READ OUT ,1
PLEASE DO ,3 <- #0
DO GIVE UP"""
"[1, 2, 5, 13, 29, 34, 89, 169, 194]",3,"[FUck
FUCK]",[+>++++++++++.>++.<<.>>+.<<.>>++++++++++.<<.>>++++++.<<.>>++++++++++++.<<.>>++++++.<<.>>++++++++.<<.>>++.<<.>>-.<<.],"[sequence = [1, 2]
for i in range(2, 10):
    if i % 3 == 2:
        sequence.append(sequence[-1] * 2)
    else:
        sequence.append(sequence[-2] + sequence[-1])
print(*sequence)]","""For the sequence 1, 2, 5, 13, 29, 34, 89, 169, 194:
    Initialize array sequence with values [1, 2, 5, 13, 29, 34, 89, 169, 194]
    For i = 4 to 10:
        If i is divisible by 3:
            sequence[i] = sequence[i-1] + 10
        Else if (i-1) is divisible by 3:
            sequence[i] = sequence[i-1] + 3
        Else:
            sequence[i] = sequence[i-1] + 6
    Print sequence""","(=BA#)9]~6ZYXWVUTSRQPONMLKJIHGFEDCBA@?>=<;:9876543s+)(*&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 1.
    You is the sum of me and 2.
    You is the sum of me and 5.
    You is the sum of me and 13.
    You is the sum of me and 29.
    You is the sum of me and 34.
    You is the sum of me and 89.
    You is the sum of me and 169.
    You is the sum of me and 194.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Tab][Space][Space][Tab]
[Space][Tab][Space][Tab][Tab][Tab]
[Space][Space][Tab][Space][Tab][Tab][Tab]
[Space][Space][Tab][Space][Space][Space][Tab][Tab][Tab]
[Space][Space][Tab][Space][Space][Tab][Space][Tab][Tab]
[Space][Space][Tab][Tab][Space][Space][Tab][Tab][Tab]
[Space][Tab][Space][Tab][Tab][Tab][Space][Space][Tab]
[Space][Tab][Space][Tab][Tab][Tab][Tab][Tab][Space]""","""1v          <
 @.10+1    <
1>         v
 @.20+3   <
1>         v
 @.30+8  <
1>         v
 @.40+16 <""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""2""
VISIBLE ""5""
VISIBLE ""13""
VISIBLE ""29""
VISIBLE ""34""
VISIBLE ""89""
VISIBLE ""169""
VISIBLE ""194""
KTHXBYE""","""DO ,1 <- #0
DO ,2 <- #1
DO ,3 <- #0
DO READ OUT ,1
PLEASE DO GIVE UP
DO GIVE UP
PLEASE DO READ OUT ,1
PLEASE DO ,3 <- #0
PLEASE READ OUT ,2
PLEASE READ OUT ,3
PLEASE READ OUT ,3
PLEASE DO ,1 <- #0
PLEASE DO ,2 <- #0
DO GIVE UP
PLEASE DO READ OUT ,3
PLEASE DO READ OUT ,1
PLEASE DO ,3 <- #1
PLEASE READ OUT ,2
DO ,1 <- ,1 + ,2
DO ,2 <- ,2 + #1
DO GIVE UP
PLEASE DO READ OUT ,1
PLEASE DO ,3 <- #0
DO GIVE UP"""
"[2, 6, 8, 5, 0, 3, 7, 4, 5, 6, 7, 8, 9, 0]",4,"[FUCK
Fuck]",[>++++[<++++++++>-]<+.>+++.>+++.>+++++.>+.>----.>.>+.>+++.>+.>++++.>.>+++++++++.>.>++++++++++.>.],"[sequence = [2, 6, 8, 5, 0, 3, 7, 4, 5, 6, 7, 8, 9, 0]
print(sequence)]","""For the sequence 2, 6, 8, 5, 0, 3, 7, 4, 5, 6, 7, 8, 9, 0:
    Initialize array sequence with values [2, 6, 8, 5, 0, 3, 7, 4, 5, 6, 7, 8, 9, 0]
    For i = 3 to 13:
        If (i-1) is divisible by 3:
            sequence[i] = sequence[i-1] - 3
        Else""",(=<`#9]~6;9876543,"""The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 2.
    You is the sum of me and 6.
    You is the sum of me and 8.
    You is the sum of me and 5.
    You is the sum of me and 0.
    You is the sum of me and 3.
    You is the sum of me and 7.
    You is the sum of me and 4.
    You is the sum of me and 5.
    You is the sum of me and 6.
    You is the sum of me and 7.
    You is the sum of me and 8.
    You is the sum of me and 9.
    You is the sum of me and 0.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Space][Tab][Tab][Space][Space]
[Space][Tab][Space][Tab][Space]
[Space][Tab][Tab][Tab][Tab]
[Space][Space][Space][Space][Space]
[Space][Space][Space][Tab][Space]
[Space][Space][Space][Tab][Tab]
[Space][Tab][Space][Space][Tab]
[Space][Tab][Space][Tab][Space]
[Space][Tab][Tab][Tab][Space]
[Space][Tab][Tab][Tab][Tab]
[Space][Tab][Tab][Space][Space]
[Space][Tab][Tab][Space][Tab]
[Space][Space][Tab][Space][Space][Space]""","""2>          v
 @.10+4    <
2>          v
 @.20+2   <
2>          v
 @.10+3  <
2>          v
 @.30+5 <
2>          v
 @.40+0  <
2>          v
 @.10+3 <
2>          v
 @.20+4 <
2>          v
 @.30+1 <
2>          v
 @.40+2 <""","""HAI 1.2
VISIBLE ""2""
VISIBLE ""6""
VISIBLE ""8""
VISIBLE ""5""
VISIBLE ""0""
VISIBLE ""3""
VISIBLE ""7""
VISIBLE ""4""
VISIBLE ""5""
VISIBLE ""6""
VISIBLE ""7""
VISIBLE ""8""
VISIBLE ""9""
VISIBLE ""0""
KTHXBYE""","""PLEASE DO (4) NEXT
DO ,1 <- #2
PLEASE DO (1) NEXT
DO ,2 <- #2
PLEASE DO (4) NEXT
DO ,3 <- #1
DO READ OUT ,1
PLEASE READ OUT ,2
PLEASE DO (1) NEXT
DO GIVE UP
DO READ OUT ,3
DO READ OUT ,3
DO ,1 <- #1
DO ,2 <- #1
DO (2) NEXT
DO GIVE UP
DO READ OUT ,1
DO READ OUT ,2
DO ,1 <- ,1 + #3
DO ,2 <- ,2 + #2
PLEASE DO (2) NEXT
DO GIVE UP"""
"[62, 76, 58, 75, 90, 33, 77, 94, 65, 56, 27]",4,"[FUCkFUck
FUCK
FUCKFUck]",[++++++++++[->++++++++<]>++.>+++++++++++.>+++++++.>+++++++.>------------.>++.>----.>.>+++++++++++.>.>+++++++++++++++.>.],"[sequence = [62, 76, 58, 75, 90, 33, 77, 94, 65, 56, 27]
print(sequence)]","""For the sequence 62, 76, 58, 75, 90, 33, 77, 94, 65, 56, 27:
    Initialize array sequence with values [62, 76, 58]
    For i = 4 to 11:
        If (i-3) is divisible by 3:
            sequence[i] = sequence[i-1] + 17
        Else if (i-4) is divisible by 3:
            sequence[i] = sequence[i-1] - 23
        Else:
            sequence[i] = sequence[i-1] + 11
    Print sequence""",(=BA#)9]~6;9876543,"""The Cat:
  Am I better than you? You is a number. 
  You are 11.
  Be you nicer of 11? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 62.
    You is the sum of me and 76.
    You is the sum of me and 58.
    You is the sum of me and 75.
    You is the sum of me and 90.
    You is the sum of me and 33.
    You is the sum of me and 77.
    You is the sum of me and 94.
    You is the sum of me and 65.
    You is the sum of me and 56.
    You is the sum of me and 27.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Space][Tab][Space][Tab][Space]
[Space][Space][Tab][Space][Space][Tab]
[Space][Space][Tab][Space][Tab][Tab]
[Space][Space][Tab][Tab][Tab][Space]
[Space][Space][Tab][Tab][Tab][Tab][Tab][Space]
[Space][Space][Tab][Tab][Tab][Tab][Space][Space]
[Space][Space][Tab][Space][Space][Space][Space][Tab]
[Space][Space][Tab][Space][Tab][Space][Tab][Tab]
[Space][Space][Tab][Tab][Space][Space][Tab][Space]
[Space][Space][Tab][Tab][Tab][Space][Tab][Tab]""","""62>        v
 @.10+14 <
76>        v
 @.20-18 <
58>        v
 @.10-2  <
75>        v
 @.20+15 <
90>        v
 @.30-57 <
33>        v
 @.10+44 <
77>        v
 @.20+17 <
94>        v
 @.30-29 <
65>        v
 @.40+9  <
56>        v
 @.10-11 <""","""HAI 1.2
VISIBLE ""62""
VISIBLE ""76""
VISIBLE ""58""
VISIBLE ""75""
VISIBLE ""90""
VISIBLE ""33""
VISIBLE ""77""
VISIBLE ""94""
VISIBLE ""65""
VISIBLE ""56""
VISIBLE ""27""
KTHXBYE""","""PLEASE DO (4) NEXT
DO ,1 <- #6
PLEASE DO (1) NEXT
DO ,2 <- #2
PLEASE DO (4) NEXT
DO ,3 <- #1
DO READ OUT ,1
PLEASE READ OUT ,2
PLEASE DO (1) NEXT
DO GIVE UP
DO READ OUT ,3
DO READ OUT ,3
DO ,1 <- #1
DO ,2 <- #1
DO (2) NEXT
DO GIVE UP
DO READ OUT ,1
DO READ OUT ,2
DO ,1 <- ,1 + #3
DO ,2 <- ,2 + #2
PLEASE DO (2) NEXT
DO GIVE UP"""
