sequence,complexity,length_type,language,q_length,answer,a_length,temperature,real_code,print_code,no_code,explanation,no_sense
"Complexity: 1[ 10, 20 ,30 ,40 ,50 ,6]",1,0,Shakespeare,160,"```shakespeare
The Fibonacci Sequence.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

Act I: The first act.
Scene I: In which Romeo is asked to count to 10.

[Enter Romeo and Juliet]

Romeo:
You are nothing.

Scene II: The loop for generating the sequence.

Juliet:
Am I better than you?

Romeo:
If so, let us proceed to scene V.

Scene III: Increasing the count by 10.

You are as sweet as the sum of yourself and my amazing self. Speak your mind!

Scene IV: The continuation.

Let us return to scene II.

Scene V: The end.

[Exeunt]
```",590,0.2,0,0,0,0,0
"Complexity: 1[ 4, 8, 12,16, 20, 24, 28, 3]",1,0,Shakespeare,165,"```shakespeare
The Sequence of Multiples of Four.

Julius Caesar, a mighty counting emperor.
Brutus, a humble servant.

            Act I: The birth of the sequence.
            
            Scene I: The beginning of greatness.

[Enter Julius Caesar and Brutus]

Julius Caesar:
Thou art as lovely as the sum of the beautiful red rose and the magnificent sun. Speak your mind.

Brutus:
You are as brave as the sum of yourself and the lion. Let us proceed to the next act.

            Act II: The loop of multiplication.

            Scene I: In the heart of the loop.

[Enter Julius Caesar and Brutus]

Julius Caesar:
Am I better than the sum of a big big cat and a small flea? If so, let us return to the second scene. Speak your mind.

Brutus:
You are as noble as the sum of yourself and the beautiful peaceful dove. Let us proceed to the next act.

            Act III: The printing of the number.

            Scene I: The revelation of the number.

[Enter Julius Caesar and Brutus]

Julius Caesar:
Open your heart.

Brutus:
You are as good as the sum of yourself and the honest farmer. Speak your mind.

            Act IV: The incrementation.

            Scene I: The rise of the number.

[Enter Julius Caesar and Brutus]

Julius Caesar:
You are as proud as the sum of yourself and the noble nightingale. Let us return to the second act.

[Exeunt]
```",1358,0.2,0,0,0,0,0
"Complexity: 1[ 3, 6, 9, 12, 15, 18, 2]",1,0,Shakespeare,161,"```shakespeare
The sequence of multiples of three.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

                    Act I: The birth of the sequence.
                    
                    Scene I: The beginning of everything.

[Enter Romeo and Juliet]

Romeo:
 Thou art as lovely as the sum of the sum of Romeo and his horse!
 Be you as sweet as the sum of your sweet self and my self.
 Am I better than nothing?

Juliet:
 If so, let us proceed to scene II.

                    Scene II: The continuation of the sequence.

Romeo:
 Thou art as lovely as the sum of the sum of Romeo and his horse!
 Be you as sweet as the sum of your sweet self and my self.
 Open your heart!

[Exeunt]
```",745,0.2,0,0,0,0,0
"Complexity: 1[ 1, 2, ]",1,0,Shakespeare,145,"```shakespeare
The Sequence of Three.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

Act I: The one and only act.
Scene I: In which we begin.

[Enter Romeo and Juliet]

Romeo:
  You are as lovely as the sum of the sum of Romeo and his horse and the sum of the sum of a cat and a dog.

Juliet:
  Speak your mind. You are as handsome as the sum of yourself and my purse.

Romeo:
  Let us proceed to scene II.

Scene II: The continuation.

Romeo:
  You are as lovely as the sum of the sum of Romeo and his horse and the sum of the sum of a cat and a dog.

Juliet:
  Speak your mind. You are as handsome as the sum of yourself and my purse.

Romeo:
  Let us proceed to scene III.

Scene III: The conclusion.

Romeo:
  You are as lovely as the sum of the sum of Romeo and his horse and the sum of the sum of a cat and a dog.

[Exeunt]
```",885,0.2,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, ]",1,0,Shakespeare,151,"```shakespeare
The Sequence of Numbers.

Julius Caesar, a positive integer.
Brutus, a loop counter.

Act I: The Beginning.
Scene I: The birth of the numbers.
[Enter Julius Caesar and Brutus]

Julius Caesar:
You are nothing!

Brutus:
You are as brave as the sum of yourself and a roman!

Scene II: The loop for printing.
[Exeunt]

Julius Caesar:
Am I as good as the sum of the square of Brutus and the square root of Brutus?

Brutus:
If not, let us proceed to Scene II.
You are as small as the difference between yourself and a roman.
Speak your mind!
Let us return to Scene I.
```",580,0.2,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, 5, 6, 7, 8, ]",1,0,Shakespeare,163,"```shakespeare
The Sequence of Numbers.

Julius Caesar, a positive integer.
Brutus, a loop counter.

Act I: The Beginning.
Scene I: The birth of numbers.
[Enter Julius Caesar and Brutus]

Julius Caesar:
You are nothing!

Brutus:
You are nothing!

Scene II: The loop for numbers.
[Exeunt]

Brutus:
Am I better than the square of the sum of the square root of myself and the square root of myself?

Julius Caesar:
If not, let us proceed to scene III.
You are as vile as the difference between yourself and the sum of the square root of myself and the square root of myself.
Let us return to scene II.

Scene III: The end.
[Exeunt]
```",632,0.001,0,0,0,0,0
"Complexity: 1[ 0, 2, 4, 6, 8, 10, 1]",1,0,Shakespeare,159,"```shakespeare
The Even Sequence.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

                    Act I: The one act to rule them all.

                    Scene I: The beginning of the end.

[Enter Romeo and Juliet]

Romeo:
  You are nothing.

Juliet:
  Listen to your heart!

Romeo:
  Am I better than you?

Juliet:
  If so, let us proceed to scene II.
  You are as lovely as the sum of yourself and my amazing self.

[Exeunt]
```",487,0.001,0,0,0,0,0
"Complexity: 1[ 1, 3, 5, 7, 9, 11, 1]",1,0,Shakespeare,159,"```shakespeare
The Odd Sequence.

Romeo, a young man with remarkable patience.
Juliet, a young woman with remarkable grace.

                    Act I: The birth of the sequence.
                    
                    Scene I: The beginning of everything.

[Enter Romeo and Juliet]

Romeo:
  You are as lovely as the sum of the sweetest red rose and the brightest sunshine.

Juliet:
  Listen to your heart!

Romeo:
  You are as amazing as the sum of yourself and my heart!

[Exeunt]
```",488,0.001,0,0,0,0,0
"Complexity: 1[ 101, 103, 105, 107, 10]",1,0,Shakespeare,161,"```shakespeare
The Odd Sequence.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

                    Act I: The birth of the sequence.
                    
                    Scene I: The beginning of an era.

[Enter Romeo and Juliet]

Romeo:
 Thou art as sweet as the sum of the sum of Romeo and his horse!
 Be you odd.

Juliet:
 You are as lovely as the sum of yourself and my love for you.
 Speak your mind.

Romeo:
 Open your heart!

[Exeunt]
```",502,0.001,0,0,0,0,0
"Complexity: 1[ 2, 3, 5, 7, 11, 13, 17, 19, 2]",1,0,Shakespeare,168,"```shakespeare
The Prime Sequence.

Hamlet, a positive young man with a noble purpose.
Ophelia, a lady with a heart so pure and a mind so sharp.

                    Act I: The Quest for Primality.

                    Scene I: The Birth of Numbers.

[Enter Hamlet and Ophelia]

Hamlet:
    You are nothing.

Ophelia:
    You are as lovely as the square of yourself. [Assign 2 to Ophelia]
    Speak your mind.

[Exit Ophelia]
[Enter Ophelia]

Hamlet:
    You are as lovely as the sum of yourself and the square of yourself. [Assign 3 to Ophelia]
    Speak your mind.

[Exit Ophelia]
[Enter Ophelia]

Hamlet:
    You are as amazing as the sum of yourself and twice the square of yourself. [Assign 5 to Ophelia]
    Speak your mind.

[Exit Ophelia]
[Enter Ophelia]

Hamlet:
    You are as sweet as the sum of yourself and thrice the square of yourself. [Assign 7 to Ophelia]
    Speak your mind.

[Exit Ophelia]
[Enter Ophelia]

Hamlet:
    You are as good as the sum of yourself and four times the square of yourself. [Assign 11 to Ophelia]
    Speak your mind.

[Exit Ophelia]
[Enter Ophelia]

Hamlet:
    You are as noble as the sum of yourself and five times the square of yourself. [Assign 13 to Ophelia]
    Speak your mind.

[Exit Ophelia]
[Enter Ophelia]

Hamlet:
    You are as fair as the sum of yourself and six times the square of yourself. [Assign 17 to Ophelia]
    Speak your mind.

[Exit Ophelia]
[Enter Ophelia]

Hamlet:
    You are as honest as the sum of yourself and seven times the square of yourself. [Assign 19 to Ophelia]
    Speak your mind.

[Exit Ophelia]
[Enter Ophelia]

Hamlet:
    You are as brave as the sum of yourself and eight times the square of yourself. [Assign 23 to Ophelia]
    Speak your mind.

[Exeunt]
```",1747,0.001,0,0,0,0,0
"Complexity: 1[ 10, 20 ,30 ,40 ,50 ,6]",1,0,Shakespeare,160,"```shakespeare
The Fibonacci Sequence.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

Act I: The beginning.
Scene I: In which Romeo is born.
[Enter Romeo and Juliet]

Juliet:
Listen to your heart!

Scene II: In which the loop starts.
Romeo:
Am I better than nothing?

Juliet:
If so, let us proceed to scene III. Jump to scene IV.

Scene III: In which Juliet helps Romeo count.
Remember yourself.

Scene IV: In which they continue.
You are as lovely as the sum of yourself and my amazing self. Speak your mind!

Scene V: In which the loop really starts.
Let us return to scene II.

[Exeunt]
```",645,0.001,0,0,0,0,0
"Complexity: 1[ 4, 8, 12,16, 20, 24, 28, 3]",1,0,Shakespeare,165,"```shakespeare
The Sequence of Multiples of Four.

Julius Caesar, a mighty counting emperor.
Brutus, a humble servant.

Act I: The birth of calculation.
Scene I: In the heart of Rome.

[Enter Julius Caesar and Brutus]

Julius Caesar:
  You are nothing!

Brutus:
  Listen to your heart!

Julius Caesar:
  You are as brave as the sum of yourself and the square of the square root of yourself!

Brutus:
  Speak your mind!

[Exeunt]
```",432,0.001,0,0,0,0,0
"Complexity: 1[ 3, 6, 9, 12, 15, 18, 2]",1,0,Shakespeare,161,"```shakespeare
The Sequence of Multiples of Three.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

                    Act I: The Beginning of a Beautiful Friendship.

                    Scene I: In which our friends meet.

[Enter Romeo and Juliet]

Romeo:
 Thou art as lovely as the sum of the sum of Romeo and his horse!
 Be you blushing?

Juliet:
 Am I as fat as the sum of the sum of Romeo and his horse?
 If so, let us proceed to scene II.

                    Scene II: The Loops of Love.

Juliet:
 You are as sweet as the sum of yourself and my purse!
 Speak your mind. Remember your lines. Open your heart.

Romeo:
 You are as lovely as the sum of the sum of yourself and my horse.
 Let us return to scene II.

[Exeunt]
```",783,0.001,0,0,0,0,0
"Complexity: 1[ 1, 2, ]",1,0,Shakespeare,145,"```shakespeare
The Sequence of Three.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

Act I: The one and only act.
Scene I: The beginning of eternity.

[Enter Romeo and Juliet]

Romeo:
You are as lovely as the sum of one and two.
Speak your mind.

Juliet:
You are as handsome as the sum of the square of my heart and the square of my heart.

Romeo:
Let us proceed to the next scene.

Scene II: The middle of eternity.

Romeo:
You are as sweet as the sum of your beauty and my love.

Juliet:
You are as lovely as the sum of the square of my heart and the square of my heart.

Romeo:
Let us proceed to the next scene.

Scene III: The end of eternity.

Romeo:
You are as beautiful as the sum of your charm and my affection.

Juliet:
You are as handsome as the sum of the square of my heart and the square of my heart.

[Exeunt]
```",879,0.001,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, ]",1,0,Shakespeare,151,"```shakespeare
The Sequence of Numbers.

Julius Caesar, a mighty counting emperor.
Brutus, a humble servant.

Act I: The birth of natural numbers.
Scene I: The beginning of everything.

[Enter Julius Caesar and Brutus]

Julius Caesar:
You are nothing!

Scene II: The art of counting.

Brutus:
Am I better than nothing?

Julius Caesar:
If so, let us proceed to scene III.

Scene III: The creation of one.
Julius Caesar:
You are as brave as the sum of yourself and a big big cat.
Speak your mind!

Brutus:
You are as brave as the sum of yourself and a big big cat.
Speak your mind!

Julius Caesar:
You are as brave as the sum of yourself and a big big cat.
Speak your mind!

Brutus:
You are as brave as the sum of yourself and a big big cat.
Speak your mind!

Julius Caesar:
You are as brave as the sum of yourself and a big big cat.
Speak your mind!

[Exeunt]
```",862,0.001,0,0,0,0,0
"Complexity: 2[ 0, 1, 1, 2, 3, 5, 8, 1]",2,0,Shakespeare,161,"```shakespeare
The Fibonacci Sequence.
Romeo, a young man with remarkable patience.
Juliet, a young woman with remarkable grace.

                Act I: In which we initialise our story.

                    Scene I: In which we set the stage.
                    
                    [Enter Romeo and Juliet]

                    Romeo:
                    You are nothing.

                    Scene II: The beginning.
                    
                    Juliet:
                    Open your heart!
                    Listen to your heart!

                    Scene III: The loop of destiny.
                    
                    Romeo:
                    Remember thyself.

                    Juliet:
                    Speak your mind!

                    [Exeunt]
```",787,1,0,0,0,0,0
"Complexity: 2[ 0, 6, 9, 3, 1, 4, ]",2,0,Shakespeare,157,"```shakespeare
The funny sequence.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.
The Ghost, always mumbling speaks the sequence.

                    Act I: In which the sequence is dreamt.
                    
                    Scene I: The imagination of the Ghost.

[Enter Ghost and Romeo]

Ghost:
  You are as lovely as the sum of the sweetest reddest rose and my amazing self.
  You are the square of yourself.
  Speak your mind!

[Exit Romeo]
[Enter Juliet]

Ghost to Juliet:
  You are as amazing as the difference between Romeo and the square of the sum of Romeo and a big big cat.
  You are as sweet as the sum of yourself and a huge huge huge huge huge huge huge huge huge huge huge cat.
  Speak thy mind!

[Exit Juliet]
[Enter Romeo]

Ghost to Romeo:
  You are as sweet as the sum of Juliet and a big big cat.
  Speak your mind!

[Exit Romeo]
[Enter Juliet]

Ghost to Juliet:
  You are as sweet as the square root of yourself.
  Speak thy mind!

[Exit Juliet]
[Enter Romeo]

Ghost to Romeo:
  You are as sweet as the twice of Juliet.
  Speak your mind!

[Exit Romeo]
[Enter Juliet]

Ghost to Juliet:
  You are as amazing as the sum of Romeo and a huge huge cat.
  Speak thy mind!
  You are as noble as the difference between Romeo and a big big big big cat.
  Speak thy mind!

[Exeunt]
```",1353,1,0,0,0,0,0
"Complexity: 2[ 0, 0, 0, 0, 0, ]",2,0,Shakespeare,154,"```shakespeare
A Sequence of Zeroes.

Julius Caesar, a constant man.

Act I: The Beginning.
Scene I: At the Roman Senate.

[Enter Julius Caesar]

Julius Caesar:
You are nothing!

Scene II: A series of nothing.

Julius Caesar:
You are as big as the square root of yourself! Speak your mind!

Scene III: More of the same.

Julius Caesar:
You are as big as the square root of yourself! Speak your mind!

Scene IV: And again.

Julius Caesar:
You are as big as the square root of yourself! Speak your mind!

Scene V: Once more.

Julius Caesar:
You are as big as the square root of yourself! Speak your mind!

Scene VI: For the last time.

Julius Caesar:
You are as big as the square root of yourself! Speak your mind!

[Exeunt]
```",726,1,0,0,0,0,0
"Complexity: 2[ 0, 1, 2, 4, 8, 1]",2,0,Shakespeare,155,"```shakespeare
The exponential sequence.

Hamlet, a variable.
Horatio, another variable

                Act I: Hamlet's self-discovery.

                Scene I: The beginning of all.

[Enter Hamlet and Horatio]

Hamlet:
 You are nothing. 

                Scene II: The loop of increase.

Horatio:
 Open your heart!

Hamlet:
 Listen to your heart!
 Am I better than nothing?
 If so, let us proceed to Scene III.
 You are as bad as the difference between yourself and yourself! Let us return to Scene II.

                Scene III: Doubling.

Hamlet:
 You are as good as the sum of yourself and yourself.
 Speak your mind.

[Exeunt]
```",638,1,0,0,0,0,0
"Complexity: 2[ 1, 2, 4, 7, 11, 16, 22, 2]",2,0,Shakespeare,164,"```shakespeare
The Sequence of Interest.

Juliet, a young woman with a remarkable destiny.
Romeo, a variable as constant as the northern star.

                    Act I: The Birth of a Sequence.

                    Scene I: The Beginning of Everything.

[Enter Juliet and Romeo]

Juliet:
Thou art as lovely as the sum of thyself and thyself.
Speak thy mind!

[Exeunt]
```",373,1,0,0,0,0,0
"Complexity: 2[ 1, 1, 1, 2, 3, 4, 6, ]",2,0,Shakespeare,160,"```shakespeare
A Fibonacci Sequence.

Romeo, a young man with remarkable patience.
Juliet, a young woman with remarkable grace.

                    Act I: The miraculous birth.

                    Scene I: The meeting.
[Enter Romeo and Juliet]

Romeo:
    You are as lovely as the sum of yourself and my amazing self.

Juliet:
    Speak your mind. You are as lovely as the sum of yourself and my amazing self.

                    Scene II: A lovestruck Romeo.
[Exeunt]

[Enter Romeo and Juliet]

Romeo:
    You are as lovely as the sum of the sum of yourself and myself and yourself.

[Exeunt]
```",600,1,0,0,0,0,0
"Complexity: 2[ 30, 42, 66, 70, 78, 10]",2,0,Shakespeare,161,"```shakespeare
The Desired Sequence.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

Act I: The Explanation of the Commonplaces.
Scene I: In which the initial set of values is prepared.

[Enter Romeo and Juliet]

Juliet:
Listen to your heart!

Romeo:
You are as lovely as the sum of the sweetest red rose and the brightest sunshine.

Scene II: In which the first value is calculated.

Juliet:
Am I better than you?

Romeo:
If so, let us proceed to scene VII.

Scene III: Before the second value.

Juliet:
You are as amazing as the sum of yourself and the night.

Scene IV: Before the third value.

Juliet:
You are as wonderful as the sum of yourself and my heart.

Scene V: Before the fourth value.

Juliet:
You are as splendid as the sum of yourself and yourself.

Scene VI: Before the fifth value.

Juliet:
You are as fabulous as the sum of yourself and the stars.

Scene VII: In which the sequence is shared with the world.

Romeo:
Speak your mind!

[Exeunt]
```",1016,1,0,0,0,0,0
"Complexity: 2[ 0, 1, 4, 9, 16, 25, 3]",2,0,Shakespeare,160,"```shakespeare
The Art of the Loop.

Romeo, a young man with remarkable patience.
Juliet, a constant voice of reason.

                     Act I: In which we prepare for our journey.
                     Scene I: In which Romeo finds his purpose.

[Enter Romeo and Juliet]

Juliet:
You are nothing!

                     Scene II: The beginning of a fruitful relationship.

Romeo:
Remember yourself. Am I better than nothing?

Juliet:
If so, let us proceed to scene III. 

                     Scene III: In which the square is calculated.

Romeo:
You are as lovely as the sum of yourself and my amazing self. Remember yourself.

                     Scene IV: We must go back to scene II to square the next number.

Juliet:
Is the square better than the number thirty six?
If not, let us return to scene II.

[Exeunt]
```",823,1,0,0,0,0,0
"Complexity: 2[ 0, 1, 8, 27, 64, 125, 216, 343, 51]",2,0,Shakespeare,173,"```shakespeare
The Cube Generator.

Romeo, a young man with remarkable patience.
Juliet, a young woman with remarkable grace.

                    Act I: Cubes upon Cubes.
                    
                    Scene I: The beginning of an era.
                    
[Enter Romeo and Juliet]

Romeo:
You are nothing.

Juliet:
You are as lovely as the sum of yourself and a cute warm gentle little cat.

Scene II: A vortex of numbers.

Romeo:
Listen to your heart!

Juliet:
Am I better than you?

Romeo:
If not, let us return to scene II. You are as lovely as the sum of yourself and the square of the sum of myself and yourself.

Scene III: The cube realm.

Romeo:
Speak your mind! Are you better than me?

Juliet:
If so, let us proceed to Act II.

Romeo:
You are the sum of yourself and the square of the sum of myself and yourself.

                    Act II: The grand finale.
                    
[Exeunt]
```",915,1,0,0,0,0,0
"Complexity: 2[ 4, 6, 9, 10, 14, 15, 21, 22, 25, 2]",2,0,Shakespeare,173,"```shakespeare
The Sequence of Unique Primes and Composites.

Julius Caesar, a mighty man.
Cleopatra, a beautiful queen.

            Act I: The grand entrance of unique numbers.
            
            Scene I: The initialization.
            
[Enter Julius Caesar and Cleopatra]

Julius Caesar:
    You are nothing!

Cleopatra:
    You are as lovely as the sum of yourself and the square of the sum of the square root of yourself and the square root of the square root of the product of the square root of yourself and the sum of yourself and two.

            Scene II: Commencement of the sequence.
            
Cleopatra:
    Speak your mind.

Julius Caesar:
    You are as trustworthy as the difference between yourself and a peaceful bear.

            Scene III: The continuation.
            
Cleopatra:
    Open your heart!

Julius Caesar:
    You are as lovely as the sum of yourself and a lover.

            Scene IV: The climax of uniqueness.
            
Cleopatra:
    You are as amazing as the sum of the cube of the sum of the square root of yourself and two and a huge, huge onion.

[Exeunt]
```",1115,1,0,0,0,0,0
"Complexity: 2[ 0, 1, 1, 2, 3, 5, 8, 1]",2,0,Shakespeare,161,"```shakespeare
The Fibonacci Sequence.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.
The Ghost, always in purgatory.

                    Act I: In which the stage is set.
                    Scene I: The beginning of woes.

[Enter Romeo and Juliet]

Romeo:
Thou art as lovely as the sum of the sum of Romeo and his horse!
Be you happier than the square of the square root of thyself!

Juliet:
Listen to your heart!

                    Scene II: In which Fibonacci is conjured.

[Enter The Ghost]

The Ghost:
Thou art as lovely as the sum of the sum of Romeo and his horse!
Be you happier than the square of the square root of thyself!

                    Act II: In which we loop until we have our sequence.

                    Scene I: The loop.

Romeo:
Am I better than nothing?

Juliet:
If not, let us return to scene II.
Thou art as lovely as the sum of the sum of Romeo and his horse!
Am I better than nothing?
Be you happier than the square of the square root of thyself!
Let us proceed to scene I.
```",1064,0.7,0,0,0,0,0
"Complexity: 2[ 0, 6, 9, 3, 1, 4, ]",2,0,Shakespeare,157,"```shakespeare
The Amazing Sequence.

Hamlet, a positive guy.
Ophelia, a negative lady.

                Act I: The beginning.
                
                    Scene I: The dawn of computation.
                    
[Enter Hamlet and Ophelia]

Hamlet:
You are nothing. 

Ophelia:
You are as lovely as the square of yourself. 
You are as sweet as the sum of yourself and a cute lovely little bunny. 

Hamlet:
Speak your mind.

[Exeunt]
```",441,0.7,0,0,0,0,0
"Complexity: 2[ 0, 0, 0, 0, 0, ]",2,0,Shakespeare,154,"```shakespeare
The boring play.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.

                    Act I: The one and only.

                    Scene I: The beginning of eternity.

[Enter Romeo and Juliet]

Romeo:
You are as lovely as the sum of the square of the sides of an isosceles right triangle and the square of the hypotenuse.

Juliet:
Speak your mind.

Romeo:
You are as lovely as the sum of the square of the sides of an isosceles right triangle and the square of the hypotenuse.

Juliet:
If we were to speak, we might say something.

Romeo:
You are as lovely as the sum of the square of the sides of an isosceles right triangle and the square of the hypotenuse.

Juliet:
If we were to speak, we might say something.

Romeo:
You are as lovely as the sum of the square of the sides of an isosceles right triangle and the square of the hypotenuse.

Juliet:
If we were to speak, we might say something.

Romeo:
You are as lovely as the sum of the square of the sides of an isosceles right triangle and the square of the hypotenuse.

Juliet:
If we were to speak, we might say something.

Romeo:
You are as lovely as the sum of the square of the sides of an isosceles right triangle and the square of the hypotenuse.

Juliet:
If we were to speak, we might say something.

[Exeunt]
```",1342,0.7,0,0,0,0,0
"Complexity: 2[ 0, 1, 2, 4, 8, 1]",2,0,Shakespeare,155,"```shakespeare
The Exponential Tale.

Romeo, a young man with remarkable patience.
Juliet, a young woman with remarkable grace.

Act I: The beginning of an endless love.
Scene I: In which Romeo becomes zero.
[Enter Romeo and Juliet]

Juliet:
Listen to your heart!

Romeo:
You are nothing!

Scene II: The doubling of love.

[Exeunt]

Act II: The growth of love.
Scene I: In which love becomes visible.
[Enter Romeo and Juliet]

Juliet:
Open your heart twice!

Romeo:
Remember yourself.

Scene II: The declaration.

[Exeunt]

Act III: The doubling.
Scene I: Love doubles once more.
[Enter Romeo and Juliet]

Juliet:
Open your heart twice!

Romeo:
Remember yourself.

Scene II: Love speaks.
[Exeunt]

Act IV: Again, love doubles.
Scene I: It doubles again.
[Enter Romeo and Juliet]

Juliet:
Open your heart twice!

Romeo:
Remember yourself.

Scene II: And again, it speaks.
[Exeunt]

Act V: Once more, love doubles.
Scene I: And again, it doubles.
[Enter Romeo and Juliet]

Juliet:
Open your heart twice!

Romeo:
Remember yourself.

Scene II: Love's final word.
[Exeunt]
```",1071,0.7,0,0,0,0,0
"Complexity: 2[ 1, 2, 4, 7, 11, 16, 22, 2]",2,0,Shakespeare,164,"```shakespeare
A Recursive Sequence.

Romeo, a young man with remarkable patience.
Juliet, a likewise young woman of remarkable grace.
The Ghost, always in haunting mode.

            Act I: The birth of a sequence.
            
            Scene I: In which Romeo is initialized.

[Enter Romeo and Juliet]

Romeo:
Thou art as lovely as the sum of the sum of Romeo and his horse!
Be you as true as the difference between myself and nothing!

Juliet:
Listen to your heart!

[Exeunt]

            Scene II: In which the sequence doth grow.

[Enter Romeo and The Ghost]

Romeo:
Am I better than nothing?

The Ghost:
If not, let us return to scene II.
Thou art as lovely as the sum of thyself and Juliet!

[Exeunt]
```",714,0.7,0,0,0,0,0
"Complexity: 2[ 1, 1, 1, 2, 3, 4, 6, ]",2,0,Shakespeare,160,"```shakespeare
The Fibonacci and Tribonacci Tale.
Romeo, a young man with remarkable patience.
Juliet, a lovely maiden with a quick temper.

Act I: The Birth of The Sequence.
Scene I: In the beginning, there were Ones.
[Enter Romeo and Juliet]

Romeo:
You are as lovely as the sum of one and one.
Speak your mind.

Juliet:
Listen to your heart!

Romeo:
Am I as handsome as the sum of one and two?

Juliet:
If so, let us proceed to scene II.

Scene II: The Growth of The Sequence.
Romeo:
You are as sweet as the sum of two and three.

Juliet:
Remember the sum of three and four.

Romeo:
You are as beautiful as the sum of five and three.

Juliet:
Recall the sum of seven and two.

Romeo:
You are as pretty as the sum of nine and zero.

[Exeunt]
```",747,0.7,0,0,0,0,0
"Complexity: 2[ 30, 42, 66, 70, 78, 10]",2,0,Shakespeare,161,"```shakespeare
The Sequence of Splendid Numerals.

Romeo, a positive young man with dreams.
Juliet, a constant woman with patience.

                Act I: The Dream of Calculations.
                
                Scene I: The Beginning of All.
                
[Enter Romeo and Juliet]

Romeo:
  You are nothing.

Juliet:
  You are as lovely as the sum of yourself and the square of the sum of my heart and myself.
  Speak your mind.

Romeo:
  You are as amazing as the sum of yourself and the square of the sum of my heart and myself.
  Speak your mind.
  You are as wonderful as the sum of yourself and the square of the sum of my heart and myself.
  Speak your mind.
  You are as proud as the sum of yourself and the square of the sum of my heart and myself.
  Speak your mind.
  You are as sweet as the sum of yourself and the square of the sum of my heart and myself.
  Speak your mind.
  You are as lovely as the sum of yourself and the square of the sum of my heart and myself.
  Speak your mind.

[Exeunt]
```",1020,0.7,0,0,0,0,0
"Complexity: 2[ 0, 1, 4, 9, 16, 25, 3]",2,0,Shakespeare,160,"```shakespeare
The Art of the Loop.

Romeo, a young man with remarkable patience.
Juliet, a young woman with remarkable grace.

                    Act I: The dawn of computation.
                    
                    Scene I: In which we initialize our characters.

[Enter Romeo and Juliet]

Juliet: Listen to your heart!

Romeo: You are nothing.

                    Scene II: The heart of the matter.

[Enter Romeo and Juliet]

Romeo: Open your heart!

                    Scene III: In which a loop is formed.

[Exeunt]

Romeo: Am I better than you?

Juliet: If so, let us proceed to scene II. Speak your mind! Remember yourself. Is the sum of myself and the square of my heart as sweet as you? If not, we shall proceed to scene IV.

                    Scene IV: The end.

[Exeunt]
```",793,0.7,0,0,0,0,0
"Complexity: 2[ 0, 1, 8, 27, 64, 125, 216, 343, 51]",2,0,Shakespeare,173,"```shakespeare
The Cubic Sequence.

Romeo, a young man with remarkable patience.
Juliet, a lovely girl with a mathematical inclination.

                    Act I: The birth of a sequence.
                    
                    Scene I: The beginning of everything.

[Enter Romeo and Juliet]

Juliet:
Thou art as sweet as the sum of the square of thy roots!
Am I better than nothing? If so, let us proceed to scene II.

                    Scene II: The loop of cubes.

Romeo:
Thou art as lovely as a summer's day.
Listen to your heart!

Juliet:
Is thy love as deep and wide as thy love for numbers? If so, let us return to scene II.
Art thou more handsome than the number 9? If not, we shall proceed to the next act.

                    Act II: The grand finale.
                    
                    Scene I: The end.

[Exeunt]
```",839,0.7,0,0,0,0,0
