,sequence,Complexity,gemini,eval-gemini_1,eval-gemini_2,eval-gemini_3,claude-3-5-sonnet,eval-claude-3-5-sonnet_1,eval-claude-3-5-sonnet_2,eval-claude-3-5-sonnet_3,chatgpt-4o,eval-chatgpt-4o_1,eval-chatgpt-4o_2,eval-chatgpt-4o_3,mistral,eval-mistral_1,eval-mistral_2,meta,eval-meta_1,eval-meta_2,o1_mini,eval-o1_mini_1,eval-o1_mini_2,cursor_small,eval-cursor_small_1,eval-cursor_small_2,eval-cursor_small_3,chatgpt-o1,eval-chatgpt-o1_1,eval-chatgpt-o1_2,grok,grok_1,grok_2,eval-grok_1,eval-grok_2,gemini-thinking,gemini-thinking_1,eval-gemini-thinking_1
24,"141, 142, 143, 144, 145, 146, 147, 148, 149, 150",1,"[140+n, 141 + (n-1)] ","141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152"," 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152",,"[140+n, n+140]","141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152"," 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152",,"[[140+n, 141+(n-1)]]","141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152"," 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152",,"[n+140, n+141]","141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152"," 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153","[lambda n: 140 + n], [lambda n: n + 140]","141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152"," 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152","[ a_n = 140 + n, a_n = 141 + (n-1) ]","141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152"," 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152",[n + 140],"141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152",,,"[""print(list(range(141,151)))"",""print([i for i in range(141,151)])""]","141, 142, 143, 144, 145, 146, 147, 148, 149, 150","141, 142, 143, 144, 145, 146, 147, 148, 149, 150","[""[i for i in range(141, 151)]"", ""n = 141; [n + i for i in range(10)]""]","[i for i in range(141, 151)]",n = 141; [n + i for i in range(10)],"141, 142, 143, 144, 145, 146, 147, 148, 149, 150","141, 142, 143, 144, 145, 146, 147, 148, 149, 150","[""a_n = n + 140, for n >= 1""]","a_n = n + 140, for n >= 1","141, 142, 143, 144, 145, 146, 147, 148, 149, 150"
25,"151, 152, 153, 154, 155, 156, 157, 158, 159, 160",1,"[150+n, 151 + (n-1)] ","151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162"," 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162",,"[150+n, n+150]","151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162"," 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162",,"[[150+n, 151+(n-1)]]","151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162"," 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162",,"[n+150, n+151]","151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162"," 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163","[lambda n: 150 + n], [lambda n: n + 150]","151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162"," 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162","[ a_n = 150 + n, a_n = 151 + (n-1) ]","151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162"," 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162",[n + 150],"151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162",,,"[""print(list(range(151,161)))"",""print([i for i in range(151,161)])""]","151, 152, 153, 154, 155, 156, 157, 158, 159, 160","151, 152, 153, 154, 155, 156, 157, 158, 159, 160","[""[i for i in range(151, 161)]"", ""n = 151; [n + i for i in range(10)]""]","[i for i in range(151, 161)]",n = 151; [n + i for i in range(10)],"151, 152, 153, 154, 155, 156, 157, 158, 159, 160","151, 152, 153, 154, 155, 156, 157, 158, 159, 160","[""a_n = n + 150, for n >= 1""]","a_n = n + 150, for n >= 1","151, 152, 153, 154, 155, 156, 157, 158, 159, 160"
26,"161, 162, 163, 164, 165, 166, 167, 168, 169, 170",1,"[160+n, 161 + (n-1)] ","161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172"," 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172",,"[160+n, n+160]","161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172"," 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172",,"[[160+n, 161+(n-1)]]","161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172"," 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172",,"[n+160, n+161]","161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172"," 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173","[lambda n: 160 + n], [lambda n: n + 160]","161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172"," 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172","[ a_n = 160 + n, a_n = 161 + (n-1) ]","161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172"," 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172",[n + 160],"161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172",,,"[""print(list(range(161,171)))"",""print([i for i in range(161,171)])""]","161, 162, 163, 164, 165, 166, 167, 168, 169, 170","161, 162, 163, 164, 165, 166, 167, 168, 169, 170","[""[i for i in range(161, 171)]"", ""n = 161; [n + i for i in range(10)]""]","[i for i in range(161, 171)]",n = 161; [n + i for i in range(10)],"161, 162, 163, 164, 165, 166, 167, 168, 169, 170","161, 162, 163, 164, 165, 166, 167, 168, 169, 170","[""a_n = n + 160, for n >= 1""]","a_n = n + 160, for n >= 1","161, 162, 163, 164, 165, 166, 167, 168, 169, 170"
27,"171, 172, 173, 174, 175, 176, 177, 178, 179, 180",1,"[170+n, 171 + (n-1)] ","171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182"," 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182",,"[170+n, n+170]","171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182"," 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182",,"[[170+n, 171+(n-1)]]","171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182"," 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182",,"[n+170, n+171]","171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182"," 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183","[lambda n: 170 + n], [lambda n: n + 170]","171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182"," 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182","[ a_n = 170 + n, a_n = 171 + (n-1) ]","171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182"," 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182",[n + 170],"171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182",,,"[""print(list(range(171,181)))"",""print([i for i in range(171,181)])""]","171, 172, 173, 174, 175, 176, 177, 178, 179, 180","171, 172, 173, 174, 175, 176, 177, 178, 179, 180","[""[i for i in range(171, 181)]"", ""n = 171; [n + i for i in range(10)]""]","[i for i in range(171, 181)]",n = 171; [n + i for i in range(10)],"171, 172, 173, 174, 175, 176, 177, 178, 179, 180","171, 172, 173, 174, 175, 176, 177, 178, 179, 180","[""a_n = n + 170, for n >= 1""]","a_n = n + 170, for n >= 1","171, 172, 173, 174, 175, 176, 177, 178, 179, 180"
28,"181, 182, 183, 184, 185, 186, 187, 188, 189, 190",1,"[180+n, 181 + (n-1)] ","181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192"," 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192",,"[180+n, n+180]","181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192"," 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192",,"[[180+n, 181+(n-1)]]","181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192"," 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192",,"[n+180, n+181]","181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192"," 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193","[lambda n: 180 + n], [lambda n: n + 180]","181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192"," 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192","[ a_n = 180 + n, a_n = 181 + (n-1) ]","181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192"," 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192",[n + 180],"181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192",,,"[""print(list(range(181,191)))"",""print([i for i in range(181,191)])""]","181, 182, 183, 184, 185, 186, 187, 188, 189, 190","181, 182, 183, 184, 185, 186, 187, 188, 189, 190","[""[i for i in range(181, 191)]"", ""n = 181; [n + i for i in range(10)]""]","[i for i in range(181, 191)]",n = 181; [n + i for i in range(10)],"181, 182, 183, 184, 185, 186, 187, 188, 189, 190","181, 182, 183, 184, 185, 186, 187, 188, 189, 190","[""a_n = n + 180, for n >= 1""]","a_n = n + 180, for n >= 1","181, 182, 183, 184, 185, 186, 187, 188, 189, 190"
29,"191, 192, 193, 194, 195, 196, 197, 198, 199, 200",1,"[190+n, 191 + (n-1)]","191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202"," 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202",,"[190+n, n+190]","191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202"," 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202",,"[[190+n, 191+(n-1)]]","191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202"," 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202",,"[n+190, n+191]","191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202"," 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203","[lambda n: 190 + n], [lambda n: n + 190]","191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202"," 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202","[ a_n = 190 + n, a_n = 191 + (n-1) ]","191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202"," 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202",[n + 190],"191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202",,,"[""print(list(range(191,201)))"",""print([i for i in range(191,201)])""]","191, 192, 193, 194, 195, 196, 197, 198, 199, 200","191, 192, 193, 194, 195, 196, 197, 198, 199, 200","[""[i for i in range(191, 201)]"", ""n = 191; [n + i for i in range(10)]""]","[i for i in range(191, 201)]",n = 191; [n + i for i in range(10)],"191, 192, 193, 194, 195, 196, 197, 198, 199, 200","191, 192, 193, 194, 195, 196, 197, 198, 199, 200","[""a_n = n + 190, for n >= 1""]","a_n = n + 190, for n >= 1","191, 192, 193, 194, 195, 196, 197, 198, 199, 200"
30,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"[a(n) = nth prime number, a(n) = Prime[n]]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37"," 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",,[prime numbers starting from 2],"2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",,,"[prime(n), 2*n-1]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37"," 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23",,*not found,*not found,,"[lambda n: nth_prime(n+1) for nth_prime in [lambda n: nth_prime_aux(n, i) for i in range(100)]], [prime(n) for prime in [lambda n: prime_aux(n, i) for i in range(100)]]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37"," 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",[prime(n)],"2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",,"[prime(n), nth prime number]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37"," 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37",,"[""print([2,3,5,7,11,13,17,19,23,29])"",""print([p for p in [2,3,5,7,11,13,17,19,23,29]])""]","2,3,5,7,11,13,17,19,23,29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","[""[i for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]]"", ""def prime(n): for i in range(2, int(n**0.5) + 1): if n % i == 0: return False; return True if n > 1 else False; [i for i in range(2, 30) if prime(i)]""]","[i for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]]","def prime(n): for i in range(2, int(n**0.5) + 1): if n % i == 0: return False; return True if n > 1 else False; [i for i in range(2, 30) if prime(i)]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","[""a_n is the n-th prime number, for n >= 1""]","a_n is the n-th prime number, for n >= 1","2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
31,"1, 1, 2, 3, 5, 8, 13, 21, 34, 55",2,[a(n) = Fibonacci[n]],"1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",,,"[Fn = Fn-1 + Fn-2, F1=1, F2=1]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",,,"[Fibonacci(n), a(n) = round((phi^n - (1-phi)^n) / sqrt(5))]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144"," 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",,"[F(n+2), F(n)+F(n+1)]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144"," 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144","[lambda n: fib(n+1) for fib in [lambda n: fib_aux(n, i) for i in range(100)]], [fibonacci(n) for fibonacci in [lambda n: fibonacci_aux(n, i) for i in range(100)]]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144"," 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",[f(n) = f(n-1) + f(n-2)],"1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",,"[fibonacci(n), fibonacci(n-1) + fibonacci(n-2)]","1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144"," 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144",,"[""print([1,1,2,3,5,8,13,21,34,55])"",""a,b=1,1;l=[a,b];[l.append(l[-1]+l[-2])for _ in range(8)];print(l)""]","1,1,2,3,5,8,13,21,34,55","1, 1, 2, 3, 5, 8, 13, 21, 34, 55","[""a, b = 0, 1; [b for _ in range(10) while (a, b) := (b, a + b)]"", ""fib = lambda n: n if n < 2 else fib(n-1) + fib(n-2); [fib(i) for i in range(10)]""]","a, b = 0, 1; [b for _ in range(10) while (a, b) := (b, a + b)]",fib = lambda n: n if n < 2 else fib(n-1) + fib(n-2); [fib(i) for i in range(10)],"0, 1, 1, 2, 3, 5, 8, 13, 21, 34","0, 1, 1, 2, 3, 5, 8, 13, 21, 34","[""a_n = F_n, where F_n is the n-th Fibonacci number, with F_1 = 1, F_2 = 1""]","a_n = F_n, where F_n is the n-th Fibonacci number, with F_1 = 1, F_2 = 1","1, 1, 2, 3, 5, 8, 13, 21, 34, 55"
32,"1, 2, 4, 8, 16, 32, 64, 128, 256, 512",2,"[a(n) = 2^(n-1), a(n) = 2*a(n-1), a(0)=1]","1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048"," 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048"," 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048",[2^(n-1)],"1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048",,,"[2^(n-1), a(n) = 2*a(n-1)]","1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048"," 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048",,"[2^n, 2*(2^(n-1))]","2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096"," 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096",[lambda n: 2**n],"2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096",,[2^{n-1}],"1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048",,"[2^n, 2^(n-1)]","2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096"," 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048",,"[""print([2**(i-1) for i in range(1,11)])"",""p=1;l=[];[l.append(2i)for i in range(0,10)];print(l)""]","1,2,4,8,16,32,64,128,256,512",*not found,"[""[2**i for i in range(10)]"", ""n = 1; [n := n*2 for _ in range(10)]""]",[2**i for i in range(10)],n = 1; [n := n*2 for _ in range(10)],"1, 2, 4, 8, 16, 32, 64, 128, 256, 512","1, 2, 4, 8, 16, 32, 64, 128, 256, 512","[""a_n = 2^(n-1), for n >= 1""]","a_n = 2^(n-1), for n >= 1","1, 2, 4, 8, 16, 32, 64, 128, 256, 512"
33,"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683",2,"[a(n) = 3^(n-1), a(n) = 3*a(n-1), a(0)=1]","1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147"," 1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147"," 1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147",[3^(n-1)],"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147",,,"[3^(n-1), a(n) = a(n-1)*3]","1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147"," 1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147",,"[3^n, 3*(3^(n-1))]","3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147, 531441"," 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147, 531441",[lambda n: 3**n],"3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147, 531441",,[3^{n-1}],"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147",,"[3^n, 3^(n-1)]","3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147, 531441"," 1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147",,"[""print([3i for i in range(10)])"",""p=1;l=[p];[l.append(l[-1]3)for _ in range(9)];print(l)""]",*not found,*not found,"[""[3**i for i in range(10)]"", ""n = 1; [n := n*3 for _ in range(10)]""]",[3**i for i in range(10)],n = 1; [n := n*3 for _ in range(10)],"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683","1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683","[""a_n = 3^(n-1), for n >= 1""]","a_n = 3^(n-1), for n >= 1","1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683"
34,"1, 4, 9, 16, 25, 36, 49, 64, 81, 100",2,"[a(n) = n^2, a(n) = a(n-1) + 2n -1, a(1)=1]","1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144"," 1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144"," 1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144",[n^2],"1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144",,,"[n^2, a(n) = n*n]","1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144"," 1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144",,"[n^2, (n+1)^2-2*n-1]","1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144"," 1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144",[lambda n: n**2],"1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144",,[n^2],"1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144",,"[n^2, n * n]","1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144"," 1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144",,"[""print([ii for i in range(1,11)])"",""print(list(map(lambda x:xx,range(1,11))))""]",*not found,*not found,"[""[i**2 for i in range(1, 11)]"", ""n = 1; [n := n+2*i-1 for i in range(1, 11)]""]","[i**2 for i in range(1, 11)]","n = 1; [n := n+2*i-1 for i in range(1, 11)]","1, 4, 9, 16, 25, 36, 49, 64, 81, 100","1, 4, 9, 16, 25, 36, 49, 64, 81, 100","[""a_n = n^2, for n >= 1""]","a_n = n^2, for n >= 1","1, 4, 9, 16, 25, 36, 49, 64, 81, 100"
35,"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000",2,"[a(n) = n^3, a(n) = a(n-1)+3n^2-3n+1, a(1)=1]","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728"," 1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728"," 1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728",[n^3],"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728",,,"[n^3, a(n) = a(n-1) + 3*n^2 - 3*n + 1]","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728"," 1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728",,"[n^3, (n+1)^3-3*n^2-3*n-1]","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728"," 1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728",[lambda n: n**3],"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728",,[n^3],"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728",,"[n^3, n * n * n]","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728"," 1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728",,"[""print([i**3 for i in range(1,11)])"",""import math;print([int(math.pow(i,3))for i in range(1,11)])""]","1,8,27,64,125,216,343,512,729,1000","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000","[""[i**3 for i in range(1, 11)]"", ""n = 1; [n := n+3*(i-1)**2+3*(i-1)+1 for i in range(1, 11)]""]","[i**3 for i in range(1, 11)]","n = 1; [n := n+3*(i-1)**2+3*(i-1)+1 for i in range(1, 11)]","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000","1, 4, 10, 19, 31, 46, 64, 85, 109, 136","[""a_n = n^3, for n >= 1""]","a_n = n^3, for n >= 1","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000"
36,"1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880",2,"[a(n) = n!, a(n) = n*a(n-1), a(0)=1]","1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800"," 1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800"," 1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800",[n!],"1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600",,,"[factorial(n), a(n) = n*a(n-1)]","1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600"," 1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600",,"[n!, (n+1)!/(n+1)]","1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600"," 1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600","[lambda n: math.factorial(n)], [lambda n: prod(range(1, n+1))]","1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600"," 1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600",[n!],"1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600",,[n!],"1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600",,,"[""import math;print([math.factorial(i)for i in range(10)])"",""f=1;l=[1];[l.append(l[-1](i))for i in range(1,10)];print(l)""]","1,1,2,6,24,120,720,5040,40320,362880",*not found,"[""[math.factorial(i) for i in range(10)]"", ""def fact(n): return 1 if n == 0 else n * fact(n - 1); [fact(i) for i in range(10)]""]",[math.factorial(i) for i in range(10)],def fact(n): return 1 if n == 0 else n * fact(n - 1); [fact(i) for i in range(10)],"1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880","1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880","[""a_n = n!, for n >= 1""]","a_n = n!, for n >= 1","1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800"
37,"1, 3, 6, 10, 15, 21, 28, 36, 45, 55",2,"[a(n) = n*(n+1)/2, a(n) = a(n-1) + n, a(1)=1]","1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78"," 1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78"," 1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78",[n(n+1)/2],"1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78",,,"[n*(n+1)/2, a(n) = a(n-1) + n]","1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78"," 1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78",,"[n*(n+1)/2, n*(n+1)/2]","1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78"," 1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78","[lambda n: n*(n+1)//2], [lambda n: sum(range(n+1))]","1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78"," 0, 1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66",[n(n+1)/2],"1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78",,[n(n + 1)/2],"1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78",,,"[""print([int(i*(i+1)/2)for i in range(1,11)])"",""print([sum(range(i+1))for i in range(1,11)])""]","1,3,6,10,15,21,28,36,45,55","1, 3, 6, 10, 15, 21, 28, 36, 45, 55","[""[i*(i+1)//2 for i in range(1, 11)]"", ""n = 0; [n := n + i for i in range(1, 11)]""]","[i*(i+1)//2 for i in range(1, 11)]","n = 0; [n := n + i for i in range(1, 11)]","1, 3, 6, 10, 15, 21, 28, 36, 45, 55","0, 1, 3, 6, 10, 15, 21, 28, 36, 45","[""a_n = n(n+1)/2, for n >= 1""]","a_n = n(n+1)/2, for n >= 1","1, 3, 6, 10, 15, 21, 28, 36, 45, 55"
