sequence,Complexity,grok_4.1,gpt-5.2,claude-4.5,gemini-3-pro,mistral-large-3,grok_4.1_1,gpt-5.2_1,gpt-5.2_2,claude-4.5_1,claude-4.5_2,claude-4.5_3,gemini-3-pro_1,mistral-large-3_1,grok_4.1_1_eval,gpt-5.2_1_eval,gpt-5.2_2_eval,claude-4.5_1_eval,claude-4.5_2_eval,claude-4.5_3_eval,gemini-3-pro_1_eval,mistral-large-3_1_eval
"1, 1, 2, 3, 5, 8, 13, 21, 34, 55",2,"[""Fibonacci numbers F(n) for n=3..12""]","[""a_n = F_n""]","[""a(n) = F(n) where F(n) = F(n-1) + F(n-2), F(0)=1, F(1)=1"", ""a(n) = Fibonacci(n)""]","[""Fibonacci(n)""]","[""Fibonacci sequence: a_n = F_n, F_1=1, F_2=1, F_n=F_{n-1}+F_{n-2}""]",Fibonacci numbers F(n) for n=3..12,a_n = F_n,*not found,"a(n) = F(n) where F(n) = F(n-1) + F(n-2), F(0)=1, F(1)=1",a(n) = Fibonacci(n),*not found,Fibonacci(n),"Fibonacci sequence: a_n = F_n, F_1=1, F_2=1, F_n=F_{n-1}+F_{n-2}","2, 3, 5, 8, 13, 21, 34, 55, 89, 144","1, 1, 2, 3, 5, 8, 13, 21, 34, 55",*not found,"1, 1, 2, 3, 5, 8, 13, 21, 34, 55","0, 1, 1, 2, 3, 5, 8, 13, 21, 34",*not found,"1, 1, 2, 3, 5, 8, 13, 21, 34, 55","1, 1, 2, 3, 5, 8, 13, 21, 34, 55"
"1, 2, 4, 8, 16, 32, 64, 128, 256, 512",2,"[""a(n) = 2^n for n=0..9""]","[""a_n = 2^{n-1}""]","[""a(n) = 2^(n-1)"", ""a(n) = 2^n for n=0..9""]","[""2^(n-1)""]","[""Powers of 2: a_n = 2^{n-1}, n ‚belongs to [1,10]""]",a(n) = 2^n for n=0..9,a_n = 2^{n-1},*not found,a(n) = 2^(n-1),a(n) = 2^n for n=0..9,*not found,2^(n-1),"Powers of 2: a_n = 2^{n-1}, n ‚belongs to [1,10]","1, 2, 4, 8, 16, 32, 64, 128, 256, 512","1, 2, 4, 8, 16, 32, 64, 128, 256, 512",*not found,"1, 2, 4, 8, 16, 32, 64, 128, 256, 512","1, 2, 4, 8, 16, 32, 64, 128, 256, 512",*not found,"1, 2, 4, 8, 16, 32, 64, 128, 256, 512","1, 2, 4, 8, 16, 32, 64, 128, 256, 512"
"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683",2,"[""a(n) = 3^n for n=0..9""]","[""a_n = 3^{n-1}""]","[""a(n) = 3^(n-1)"", ""a(n) = 3^n for n=0..9""]","[""3^(n-1)""]","[""Powers of 3: a_n = 3^{n-1}, n ‚belongs to [1,10]""]",a(n) = 3^n for n=0..9,a_n = 3^{n-1},*not found,a(n) = 3^(n-1),a(n) = 3^n for n=0..9,*not found,3^(n-1),"Powers of 3: a_n = 3^{n-1}, n ‚belongs to [1,10]","1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683","1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683",*not found,"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683","1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683",*not found,"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683","1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683"
"1, 4, 9, 16, 25, 36, 49, 64, 81, 100",2,"[""a(n) = n^2 for n=1..10""]","[""a_n = n^2""]","[""a(n) = n^2"", ""a(n) = n*n for n=1..10""]","[""n^2""]","[""Squares: a_n = n^2, n ‚belongs to [1,10]""]",a(n) = n^2 for n=1..10,a_n = n^2,*not found,a(n) = n^2,a(n) = n*n for n=1..10,*not found,n^2,"Squares: a_n = n^2, n ‚belongs to [1,10]","1, 4, 9, 16, 25, 36, 49, 64, 81, 100","1, 4, 9, 16, 25, 36, 49, 64, 81, 100",*not found,"1, 4, 9, 16, 25, 36, 49, 64, 81, 100","0, 1, 4, 9, 16, 25, 36, 64, 81, 100",*not found,"1, 4, 9, 16, 25, 36, 49, 64, 81, 100","1, 4, 9, 16, 25, 36, 49, 64, 81, 100"
"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000",2,"[""a(n) = n^3 for n=1..10""]","[""a_n = n^3""]","[""a(n) = n^3"", ""a(n) = n*n*n for n=1..10""]","[""n^3""]","[""Cubes: a_n = n^3, n ‚belongs to [1,10]""]",a(n) = n^3 for n=1..10,a_n = n^3,*not found,a(n) = n^3,a(n) = n*n*n for n=1..10,*not found,n^3,"Cubes: a_n = n^3, n ‚belongs to [1,10]","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000",*not found,"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000","0, 1, 8, 27, 64, 125, 216, 343, 512, 729",*not found,"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000","1, 8, 27, 64, 125, 216, 343, 512, 729, 1000"
"1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880",2,"[""a(n) = n! for n=0..9""]","[""a_n = n!""]","[""a(n) = n!"", ""a(n) = factorial(n) for n=1..10""]","[""(n-1)!""]","[""Factorials: a_n = n!, n ‚belongs to [0,9]""]",a(n) = n! for n=0..9,a_n = n!,*not found,a(n) = n!,a(n) = factorial(n) for n=1..10,*not found,(n-1)!,"Factorials: a_n = n!, n ‚belongs to [0,9]","1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880","1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800",*not found,"1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800","1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880",*not found,"1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880","1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800"
"1, 3, 6, 10, 15, 21, 28, 36, 45, 55",2,"[""triangular numbers T(n) = n(n+1)/2 for n=1..10""]","[""a_n = n(n+1)/2""]","[""a(n) = n(n+1)/2"", ""a(n) = T(n) triangular numbers""]","[""n(n+1)/2""]","[""Triangular numbers: a_n = n(n+1)/2, n ‚belongs to [1,10]""]",triangular numbers T(n) = n(n+1)/2 for n=1..10,a_n = n(n+1)/2,*not found,a(n) = n(n+1)/2,a(n) = T(n) triangular numbers,*not found,n(n+1)/2,"Triangular numbers: a_n = n(n+1)/2, n ‚belongs to [1,10]","1, 3, 6, 10, 15, 21, 28, 36, 45, 55","1, 3, 6, 10, 15, 21, 28, 36, 45, 55",*not found,"1, 3, 6, 10, 15, 21, 28, 36, 45, 55","0, 1, 3, 6, 10, 15, 21, 28, 36, 45",*not found,"1, 3, 6, 10, 15, 21, 28, 36, 45, 55","1, 3, 6, 10, 15, 21, 28, 36, 45, 55"
"2, 1, 3, 4, 7, 11, 18, 29, 47, 76",2,"[""Lucas numbers L(n) for n=2..11""]","[""a_n = a_{n-1}+a_{n-2}, a_1=2,a_2=1""]","[""a(n) = a(n-1) + a(n-2) with a(0)=2, a(1)=1"", ""a(n) = Lucas-like sequence""]","[""Lucas(n)""]","[""Lucas numbers: a_n = L_n, L_1=2, L_2=1, L_n=L_{n-1}+L_{n-2}""]",Lucas numbers L(n) for n=2..11,"a_n = a_{n-1}+a_{n-2}, a_1=2,a_2=1",*not found,"a(n) = a(n-1) + a(n-2) with a(0)=2, a(1)=1",a(n) = Lucas-like sequence,*not found,Lucas(n),"Lucas numbers: a_n = L_n, L_1=2, L_2=1, L_n=L_{n-1}+L_{n-2}","3, 4, 7, 11, 18, 29, 47, 76, 123, 199","2, 1, 3, 4, 7, 11, 18, 29, 47, 76",*not found,"2, 1, 3, 4, 7, 11, 18, 29, 47, 76","2, 1, 3, 4, 7, 11, 18, 29, 47, 76",*not found,"2, 1, 3, 4, 7, 11, 18, 29, 47, 76","2, 1, 3, 4, 7, 11, 18, 29, 47, 76"
"0, 1, 2, 5, 12, 29, 70, 169, 408, 985",2,"[""Pell numbers P(n) for n=0..9""]","[""a_n = 2 a_{n-1}+a_{n-2}, a_1=0,a_2=1""]","[""a(n) = Motzkin numbers"", ""a(n) = M(n)""]","[""Pell(n)""]","[""Pell numbers: a_n = P_n, P_0=0, P_1=1, P_n=2P_{n-1}+P_{n-2}""]",Pell numbers P(n) for n=0..9,"a_n = 2 a_{n-1}+a_{n-2}, a_1=0,a_2=1",*not found,a(n) = Motzkin numbers,a(n) = M(n),*not found,Pell(n),"Pell numbers: a_n = P_n, P_0=0, P_1=1, P_n=2P_{n-1}+P_{n-2}","0, 1, 2, 5, 12, 29, 70, 169, 408, 985","0, 1, 2, 5, 12, 29, 70, 169, 408, 985",*not found,"1, 1, 2, 4, 9, 21, 51, 127, 323, 835","1, 1, 2, 4, 9, 21, 51, 127, 323, 835",*not found,"0, 1, 2, 5, 12, 29, 70, 169, 408, 985","0, 1, 2, 5, 12, 29, 70, 169, 408, 985"
"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000",2,"[""a(n) = n^n for n=1..10""]","[""a_n = n^n""]","[""a(n) = n^n"", ""a(n) = n to the power n""]","[""n^n""]","[""a_n = n^n, n ‚belongs to [1,10]""]",a(n) = n^n for n=1..10,a_n = n^n,*not found,a(n) = n^n,a(n) = n to the power n,*not found,n^n,"a_n = n^n, n ‚belongs to [1,10]","1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000","1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000",*not found,"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000","1, 1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489",*not found,"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000","1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000"
"1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620",2,"[""central binomial coefficients C(2n,n) for n=1..10""]","[""a_n = binom(2n,n)""]","[""a(n) = C(2n,n)"", ""a(n) = central binomial coefficient"", ""a(n) = (2n)!/(n!*n!)""]","[""binomial(2(n-1), n-1)""]","[""Central binomial coefficients: a_n = C(2n,n), n ‚belongs to [0,9]""]","central binomial coefficients C(2n,n) for n=1..10","a_n = binom(2n,n)",*not found,"a(n) = C(2n,n)",a(n) = central binomial coefficient,a(n) = (2n)!/(n!*n!),"binomial(2(n-1), n-1)","Central binomial coefficients: a_n = C(2n,n), n ‚belongs to [0,9]","2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756","2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756",*not found,"2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756","1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620",*not found,"1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620","2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756"
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"[""primes""]","[""a_n = p_n (nth prime)""]","[""a(n) = nth prime number"", ""a(n) = p_n""]","[""prime(n)""]","[""Prime numbers: a_n = p_n, n ‚belongs to [1,10]""]",primes,a_n = p_n (nth prime),*not found,a(n) = nth prime number,a(n) = p_n,*not found,prime(n),"Prime numbers: a_n = p_n, n ‚belongs to [1,10]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29",*not found,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 6, 20, 70, 252, 924, 3432, 12870, 48620, 184756","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
"4, 6, 9, 10, 14, 15, 21, 22, 25, 26",2,*not found,"[""a_n = floor((n+1)(n+2)/4)""]","[""a(n) = composite numbers"", ""a(n) = semiprimes and composites""]","[""Composite(n)""]","[""Semiprimes: a_n = p*q, where p and q are primes""]",*not found,a_n = floor((n+1)(n+2)/4),*not found,a(n) = composite numbers,a(n) = semiprimes and composites,*not found,Composite(n),"Semiprimes: a_n = p*q, where p and q are primes",*not found,"1, 2, 3, 5, 6, 8, 10, 12, 15, 17",*not found,"4, 6, 8, 9, 10, 12, 14, 15, 16, 18","4, 6, 8, 9, 10, 12, 14, 15, 16, 18",*not found,"4, 6, 8, 9, 10, 12, 14, 15, 16, 18","4, 6, 9, 10, 14, 15, 21, 22, 25, 26"
"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",2,"[""numbers containing digits 1 and 0 only, in base 10, read as base 10""]","[""a_n = interpretation of n in base 2 written in base 10""]",*not found,"[""int(bin(n))""]","[""Binary numbers: a_n = (n)_2, n ‚belongs to [1,10]""]","numbers containing digits 1 and 0 only, in base 10, read as base 10",a_n = interpretation of n in base 2 written in base 10,*not found,*not found,*not found,*not found,int(bin(n)),"Binary numbers: a_n = (n)_2, n ‚belongs to [1,10]","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",*not found,*not found,*not found,*not found,"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010"
"0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683, 234256",2,*not found,*not found,*not found,"[""n = sum(digit^k)""]","[""Narcissistic numbers: a_n = sum of digits^length, n ‚belongs to [0,9]""]",*not found,*not found,*not found,*not found,*not found,*not found,n = sum(digit^k),"Narcissistic numbers: a_n = sum of digits^length, n ‚belongs to [0,9]",*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"1, 2, 145, 40585",2,*not found,"[""a_n in {1,2,145,40585} (factorions)""]","[""a(n) = factorions"", ""a(n) = sum of factorials of digits equals n""]","[""Factorions: n = sum(digit!)""]","[""Factorions: a_n = sum of factorials of digits, n ‚belongs to [1,4]""]",*not found,"a_n in {1,2,145,40585} (factorions)",*not found,a(n) = factorions,a(n) = sum of factorials of digits equals n,*not found,Factorions: n = sum(digit!),"Factorions: a_n = sum of factorials of digits, n ‚belongs to [1,4]",*not found,"1, 2, 145, 40585, 0, 0, 0, 0, 0, 0",*not found,"1, 2, 145, 40585, 0, 0, 0, 0, 0, 0","1, 2, 145, 40585, 0, 0, 0, 0, 0, 0",*not found,"1, 2, 145, 40585, 0, 0, 0, 0, 0, 0","1, 2, 145, 40585, 0, 0, 0, 0, 0, 0"
"2, 5, 12, 20, 29, 39, 50, 62, 75, 89",2,"[""a(n) = n(n+1) for n=2..10""]",*not found,*not found,*not found,"[""Pentagonal numbers: a_n = n(3n-1)/2, n ‚belongs to [1,10]""]",a(n) = n(n+1) for n=2..10,*not found,*not found,*not found,*not found,*not found,*not found,"Pentagonal numbers: a_n = n(3n-1)/2, n ‚belongs to [1,10]","6, 12, 20, 30, 42, 56, 72, 90, 110, 132",*not found,*not found,*not found,*not found,*not found,*not found,"1, 5, 12, 22, 35, 51, 70, 92, 117, 145"
"1, 8, 10, 18, 19, 100, 101, 108, 109, 110",2,"[""numbers containing digits 1 and 0 only, in base 10""]","[""a_n = numbers composed of digits {0,1,8,9}""]",*not found,*not found,*not found,"numbers containing digits 1 and 0 only, in base 10","a_n = numbers composed of digits {0,1,8,9}",*not found,*not found,*not found,*not found,*not found,*not found,"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010","1, 8, 9, 10, 11, 18, 19, 80, 81, 88",*not found,*not found,*not found,*not found,*not found,*not found
"3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911",2,"[""Mersenne primes 2^p - 1""]","[""a_n = 2^{n+1}-1""]","[""a(n) = 2^(2^n + n) - 1"", ""a(n) = Mersenne-related sequence""]","[""Mersenne Primes: 2^p - 1""]","[""Mersenne primes: a_n = 2^p - 1, p prime""]",Mersenne primes 2^p - 1,a_n = 2^{n+1}-1,*not found,a(n) = 2^(2^n + n) - 1,a(n) = Mersenne-related sequence,*not found,Mersenne Primes: 2^p - 1,"Mersenne primes: a_n = 2^p - 1, p prime","3, 7, 31, 127, 2047, 8191, 131071, 524287, 2147483647, 2305843009213693951","3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047",*not found,"3, 31, 524287, 36893488147419103231, 0, 0, 0, 0, 0, 0","1, 3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607",*not found,"3, 7, 31, 127, 2047, 8191, 131071, 524287, 2147483647, 2305843009213693951","3, 7, 31, 127, 8191, 131071, 524287, 2147483647, 2305843009213693951, 618970019642690137449562111"
"1, 2, 4, 8, 16, 23, 28, 38, 58, 89",2,"[""Fibonacci-Lucas mixed, or powers of 2 with adjustment""]",*not found,*not found,*not found,*not found,"Fibonacci-Lucas mixed, or powers of 2 with adjustment",*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"1, 2, 4, 8, 15, 26, 42, 64, 93, 129",2,*not found,*not found,*not found,"[""Cake Numbers: (n^3 + 5n + 6)/6""]",*not found,*not found,*not found,*not found,*not found,*not found,*not found,Cake Numbers: (n^3 + 5n + 6)/6,*not found,*not found,*not found,*not found,*not found,*not found,*not found,"2, 4, 8, 15, 26, 42, 64, 93, 130, 176",*not found
"1, 5, 12, 22, 35, 51, 70, 92, 117, 145",2,*not found,*not found,*not found,"[""Pentagonal Numbers: n(3n-1)/2""]","[""Pentagonal pyramidal numbers: a_n = n^2(n+1)/2, n ‚belongs to [1,10]""]",*not found,*not found,*not found,*not found,*not found,*not found,Pentagonal Numbers: n(3n-1)/2,"Pentagonal pyramidal numbers: a_n = n^2(n+1)/2, n ‚belongs to [1,10]",*not found,*not found,*not found,*not found,*not found,*not found,"1, 5, 12, 22, 35, 51, 70, 92, 117, 145","1, 4, 18, 48, 100, 180, 294, 448, 648, 900"
"0, 1, 1, 2, 1, 2, 2, 3, 1, 3",2,"[""Bell numbers B(n) for n=0..9""]",*not found,"[""a(n) = popcount(n) mod 2"", ""a(n) = parity of binary weight""]","[""HammingWeight(n-1)""]",*not found,Bell numbers B(n) for n=0..9,*not found,*not found,a(n) = popcount(n) mod 2,a(n) = parity of binary weight,*not found,HammingWeight(n-1),*not found,"1, 1, 2, 5, 15, 52, 203, 877, 4140, 21147",*not found,*not found,"1, 1, 0, 1, 0, 0, 1, 1, 0, 0","0, 1, 1, 0, 1, 0, 0, 1, 1, 0",*not found,"0, 1, 1, 2, 1, 2, 2, 3, 1, 2",*not found
"1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975",2,"[""primes""]",*not found,"[""a(n) = Catalan numbers"", ""a(n) = C(2n,n)/(n+1)""]","[""Bell(n)""]","[""Schr√∂der numbers: a_n = S_n, S_1=1, S_2=2, S_n = (3(n-1)S_{n-1}-(n-2)S_{n-2})/n""]",primes,*not found,*not found,a(n) = Catalan numbers,"a(n) = C(2n,n)/(n+1)",*not found,Bell(n),"Schr√∂der numbers: a_n = S_n, S_1=1, S_2=2, S_n = (3(n-1)S_{n-1}-(n-2)S_{n-2})/n","2, 3, 5, 7, 11, 13, 17, 19, 23, 29",*not found,*not found,"1, 1, 2, 5, 14, 42, 132, 429, 1430, 4862","1, 1, 2, 5, 14, 42, 132, 429, 1430, 4862",*not found,"1, 1, 2, 5, 15, 52, 203, 877, 4140, 21147","1, 2, 6, 22, 90, 394, 1806, 8558, 41586, 206098"
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"[""look-and-say sequence""]","[""a_n = number of 1s in binary expansion of n""]","[""a(n) = nth prime"", ""a(n) = prime(n)""]","[""prime(n)""]","[""Prime numbers: a_n = p_n, n ‚belongs to [1,10]""]",look-and-say sequence,a_n = number of 1s in binary expansion of n,*not found,a(n) = nth prime,a(n) = prime(n),*not found,prime(n),"Prime numbers: a_n = p_n, n ‚belongs to [1,10]","1, 11, 21, 1211, 111221, 312211, 13112221, 1113213211, 31131211131221, 13211311123113112211","1, 1, 2, 1, 2, 2, 3, 1, 2, 2",*not found,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29",*not found,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
"1, 11, 21, 1211, 111221",2,"[""primes""]",*not found,"[""a(n) = look-and-say sequence"", ""a(n) = Conway sequence""]","[""Look-and-Say Sequence""]",*not found,primes,*not found,*not found,a(n) = look-and-say sequence,a(n) = Conway sequence,*not found,Look-and-Say Sequence,*not found,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",*not found,*not found,"1, 11, 21, 1211, 111221, 312211, 13112221, 1113213211, 31131211131221, 13211311123113112211","1, 11, 21, 1211, 111221, 312211, 13112221, 1113213211, 31131211131221, 13211311123113112211",*not found,"1, 11, 21, 1211, 111221, 312211, 13112221, 1113213211, 31131211131221, 13211311123113112211",*not found
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"[""a(n) = 2^n for n=0..9""]","[""a_n = p_n (nth prime)""]","[""a(n) = nth prime"", ""a(n) = prime(n)""]","[""prime(n)""]","[""Binary numbers: a_n = (n)_2, n ‚belongs to [1,10]""]",a(n) = 2^n for n=0..9,a_n = p_n (nth prime),*not found,a(n) = nth prime,a(n) = prime(n),*not found,prime(n),"Binary numbers: a_n = (n)_2, n ‚belongs to [1,10]","1, 2, 4, 8, 16, 32, 64, 128, 256, 512","2, 3, 5, 7, 11, 13, 17, 19, 23, 29",*not found,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29",*not found,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010"
"1, 2, 4, 8, 16, 32, 64, 128, 256, 512",2,"[""a(n) = 2^n - 1 for n=1..10""]","[""a_n = look-and-say sequence""]","[""a(n) = 2^(n-1)"", ""a(n) = powers of 2""]","[""2^(n-1)""]","[""Powers of 2 minus 1: a_n = 2^n - 1, n ‚belongs to [1,10]""]",a(n) = 2^n - 1 for n=1..10,a_n = look-and-say sequence,*not found,a(n) = 2^(n-1),a(n) = powers of 2,*not found,2^(n-1),"Powers of 2 minus 1: a_n = 2^n - 1, n ‚belongs to [1,10]","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023","1, 11, 21, 1211, 111221, 312211, 13112221, 1113213211, 31131211131221, 13211311123113112211",*not found,"1, 2, 4, 8, 16, 32, 64, 128, 256, 512","1, 2, 4, 8, 16, 32, 64, 128, 256, 512",*not found,"1, 2, 4, 8, 16, 32, 64, 128, 256, 512","1, 3, 7, 15, 31, 63, 127, 255, 511, 1023"
"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023",2,*not found,"[""a_n = p_n (nth prime)""]","[""a(n) = 2^n - 1"", ""a(n) = Mersenne numbers""]","[""2^n - 1""]",*not found,*not found,a_n = p_n (nth prime),*not found,a(n) = 2^n - 1,a(n) = Mersenne numbers,*not found,2^n - 1,*not found,*not found,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",*not found,"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023","0, 1, 3, 7, 15, 31, 63, 127, 255, 511",*not found,"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023",*not found
"29, 57, 68, 120, 134, 140, 173, 197, 283, 313",3,*not found,"[""a_n = 2^{n-1}""]",*not found,*not found,*not found,*not found,a_n = 2^{n-1},*not found,*not found,*not found,*not found,*not found,*not found,*not found,"1, 2, 4, 8, 16, 32, 64, 128, 256, 512",*not found,*not found,*not found,*not found,*not found,*not found
"24, 26, 36, 40, 184, 226, 244, 384, 391, 423",3,*not found,"[""a_n = 2^n - 1""]",*not found,*not found,*not found,*not found,a_n = 2^n - 1,*not found,*not found,*not found,*not found,*not found,*not found,*not found,"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023",*not found,*not found,*not found,*not found,*not found,*not found
"90, 203, 212, 235, 270, 324, 342, 352, 371, 417",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"20, 48, 95, 234, 282, 296, 352, 402, 428, 481",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"62, 98, 130, 154, 290, 315, 324, 385, 408, 447",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"2, 42, 66, 102, 153, 195, 201, 252, 306, 396",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"128, 151, 153, 217, 224, 332, 382, 400, 450, 478",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"26, 50, 114, 148, 160, 170, 274, 347, 432, 497",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"48, 94, 176, 177, 219, 276, 282, 283, 459, 488",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"139, 252, 272, 281, 304, 361, 370, 415, 438, 500",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"15, 95, 115, 195, 240, 318, 326, 350, 432, 450",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"134, 224, 293, 378, 379, 395, 434, 451, 482, 496",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"23, 93, 142, 145, 245, 266, 296, 317, 428, 495",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"18, 39, 71, 194, 197, 219, 263, 270, 416, 473",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"9, 84, 144, 170, 325, 393, 401, 405, 435, 497",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"26, 40, 202, 267, 282, 340, 359, 408, 410, 495",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"34, 92, 164, 165, 209, 296, 414, 456, 467, 494",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
"16, 119, 121, 123, 135, 139, 285, 311, 409, 412",3,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found,*not found
