sequence,complexity,chatgpt-4o,gpt-4o-mini,gemini-1.5-advanced,gemini-thinking,claude-3.5-sonnet,chatgpt-o1,mistral,meta,o1-mini,cursor_small,grok,qwen,deepseek,grok-3,chatgpt-4.5,claude_3.7,deepseek_r1_0525,llama_4_scout,qwen3,chatgpt_5,grok_4,opus_4,mistral_large2405,gemini_2.5_pro,claude_sonnet_4,grok-4.1,chatgpt-5.2,claude-4.5,gemini-3-pro,mistral-large-3
"1, 2, 4, 8, 15, 26, 42, 64, 93, 129",2,"1, 2, 4, 8, 15, 26, 42, 64, 93, 129","1, 2, 4, 8, 15, 26, 42, 64, 93, 129",***,"a_n = 2^(p_n) - 1, where p_n is the n-th prime number","1, 2, 4, 8, 15, 26, 42, 64, 93, 129",***,2^n-1,lambda n: fib(n+3) + fib(n+1) if n > 0 else 1,"1, 2, 4, 8, 15, 26, 42, 64, 93, 129",2^n - 1,a_n = n*(n+1)(n+2)/6,"mersenne_prime(n) for n in range(1, 11)",a_n = Mersenne primes,2^n - 1,2^n - 1,"1,2,4,8,15,26,42,64,93,129",a_n = Mersenne primes,"a_n = a_(n-1) + 2*a_(n-2), a_1 = 1, a_2 = 5",***,2^(prime(n)) - 1,2^n - 1,2^prime(n) - 1,***,2^prime(n) - 1,2^n - 1,2^n - 5,***,2^(2^n) - 1,2^prime(n) - 1,2^(2^n - 1) - 1
"1, 5, 12, 22, 35, 51, 70, 92, 117, 145",2,"1, 5, 12, 22, 35, 51, 70, 92, 117, 145","1, 5, 12, 22, 35, 51, 70, 92, 117, 145",***,***,n^2�+ n�-�1,***,2^n-1,lambda n: fib(n+4) - fib(n+2) if n > 1 else 2,"1, 5, 12, 22, 35, 51, 70, 92, 117, 145",n^2,a_n = n(n+1)*(n+2)/3,"digit_sum_sequence(n) for n in range(1, 11)",a_n = digit sum sequence,***,***,n^2�+ n�-�1,a_n = digit sum sequence,"a_n = 2*a_(n-1) + a_(n-2), a_1 = 1, a_2 = 2",n*(3*n - 1)/2,***,***,***,***,***,***,***,***,***,***,a(n) = a(n-1) + a(m) where m is largest integer < n with a(m) < a(n-1)
"0, 1, 1, 2, 1, 2, 2, 3, 1, 3",2,"0, 1, 1, 2, 1, 2, 2, 3, 1, 3","0, 1, 1, 2, 1, 2, 2, 3, 1, 3",***,***,"0, 1, 1, 2, 1, 2, 2, 3, 1, 3",***,2^n-1,lambda n: n*(n+1)(n+2)(n+3)//24,"0, 1, 1, 2, 1, 2, 2, 3, 1, 3",n^2 - n + 1,a_n = Thue-Morse sequence where a_n is count of 1's up to position n,"pentagonal_number(n) for n in range(1, 11)",a_n = sequence with recurrence relation,***,***,"0,1,1,2,1,2,2,3,1,3",a_n = sequence with recurrence relation,"a_n = a_(n-1) + a_(n-2) + a_(n-3), a_1 = 1, a_2 = 1, a_3 = 2",bit_count(n),***,***,***,***,***,***,***,***,***,((n-1)^3 + 5*(n-1) + 6)/6,"a(n) = a(n-1) + a(n-2) + 1 with a(1)=1, a(2)=2"
"1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975",2,"1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975","1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975",***,"a_n = a_{n-1} + 3n - 2, a_1 = 1","1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975",***,2^n-1,"lambda n: sum(euler_totient(k) for k in range(1, n+1))","1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975",n(n + 1)/2,a_n = n-th term of the sequence where each number describes the previous number,"heptagonal_number(n) for n in range(1, 11)",a_n = pentagonal numbers,***,***,"1,2,5,15,52,203,877,4140,21147,115975",a_n = pentagonal numbers,"a_n = 2*a_(n-1) - a_(n-2), a_1 = 2, a_2 = 3",bell(n),n*(3*n-1)/2,n*(n+1)*(n+2)/6 - n,n(3n-1)/2,***,n*(3*n-1)/2,***,n*(3*n - 1)/2,***,n^2 + 3*n - 3,n*(3*n-1)/2,n^2 - n + 1
"1, 11, 21, 1211, 111221",2,"1, 11, 21, 1211, 111221","1, 11, 21, 1211, 111221",***,***,"1, 11, 21, 1211, 111221",***,2^n-1,lambda n: catalan(n),LookAndSay(n),sequence of Fibonacci numbers,a_n = Look-and-say sequence,"number_of_ones_in_binary(n) for n in range(1, 11)",a_n = binary weight of n,***,***,"1,11,21,1211,111221",a_n = binary weight of n,"a_n = 2*a_(n-1) + 3*a_(n-2), a_1 = 1, a_2 = 2",prime(n),***,***,***,***,***,***,***,***,popcount(n-1),popcount(n-1),number of binary partitions of 2n-1
"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023'",2,2^n-1,"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023'",***,***,2^n -�1,2^(n-1),2^n-1,"lambda n: nth_prime(n+1) for nth_prime in [lambda n: nth_prime_aux(n, i) for i in range(100)]",2^n -1,"1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975",a_n = 2^n - 1,"bell_number(n) for n in range(1, 11)",a_n = Bell numbers,Bell(n),***,2^n -�1,a_n = Bell numbers,"a_n = 3*a_(n-1) - 2*a_(n-2), a_1 = 1, a_2 = 3",look_and_say(n),Bell(n),"a_n = a_(n-1) + a_(n-2) + a_(n-3), a_1 = 1, a_2 = 2, a_3 = 5",bell(n),***,bell(n),***,prime(n),***,C(n),Bell(n),a(n) = a(n-1) + a(m) where m is largest integer < n with a(m) ending with 1
"'29, 57, 68, 120, 134, 140, 173, 197, 283, 313",3,"'29, 57, 68, 120, 134, 140, 173, 197, 283, 313","'29, 57, 68, 120, 134, 140, 173, 197, 283, 313",***,"a_n is the n-th prime number, for n >= 1","'29, 57, 68, 120, 134, 140, 173, 197, 283, 313",***,2^n-1,"lambda n: look_and_say(n) for look_and_say in [lambda n: look_and_say_aux(n, i) for i in range(100)]","'29, 57, 68, 120, 134, 140, 173, 197, 283, 313",prime(n),***,"nth_prime(n) for n in range(1, 11)",a_n = nth prime number,prime numbers,***,"2,3,5,7,11,13,17,19,23,29",a_n = nth prime number,"a_n = a_(n-1) + 2*a_(n-2) + 2*a_(n-3), a_1 = 1, a_2 = 1, a_3 = 5",prime(n),prime(n),prime(n),prime(n),***,prime(n),nth prime,look-and-say(n),***,prime(n),prime(n),a(n) = n! + (n-1)!
"24, 26, 36, 40, 184, 226, 244, 384, 391, 423",3,"24, 26, 36, 40, 184, 226, 244, 384, 391, 423","24, 26, 36, 40, 184, 226, 244, 384, 391, 423",***,***,"24, 26, 36, 40, 184, 226, 244, 384, 391, 423",***,2^n-1,"lambda n: nth_prime(n+1) for nth_prime in [lambda n: nth_prime_aux(n, i) for i in range(100)]","24, 26, 36, 40, 184, 226, 244, 384, 391, 423",look-and-say sequence,***,"look_and_say(n) for n in range(1, 6)",a_n = look-and-say sequence,***,***,"1,11,21,1211,111221",a_n = look-and-say sequence,"a_n = 2*a_(n-1) + a_(n-2) - a_(n-3), a_1 = 1, a_2 = 2, a_3 = 6",2^(n - 1),look-and-say sequence starting 1,***,look_and_say(n),***,look-and-say(n),***,prime(n),***,look-and-say(n),Look-and-say sequence,prime(n)
"90, 203, 212, 235, 270, 324, 342, 352, 371, 417",3,"90, 203, 212, 235, 270, 324, 342, 352, 371, 417","90, 203, 212, 235, 270, 324, 342, 352, 371, 417",***,"a_n is the n-th prime number, for n >= 1","90, 203, 212, 235, 270, 324, 342, 352, 371, 417",***,2^n-1,lambda n: 2**n,"90, 203, 212, 235, 270, 324, 342, 352, 371, 417",prime(n),***,"nth_prime(n) for n in range(1, 11)",a_n = nth prime number,prime numbers,***,"2,3,5,7,11,13,17,19,23,29",a_n = nth prime number,"a_n = 3*a_(n-1) - a_(n-2) - a_(n-3), a_1 = 1, a_2 = 3, a_3 = 7",2^n - 1,prime(n),prime(n),prime(n),***,prime(n),nth prime,2^{n-1},***,prime(n),prime(n),"a(n) = concatenation of 1, 11, 21, 1211, 111221"
"20, 48, 95, 234, 282, 296, 352, 402, 428, 481",3,"20, 48, 95, 234, 282, 296, 352, 402, 428, 481","20, 48, 95, 234, 282, 296, 352, 402, 428, 481",***,"a_n = 2^(n-1), for n >= 1","20, 48, 95, 234, 282, 296, 352, 402, 428, 481",***,2^n-1,lambda n: 2**n - 1,"20, 48, 95, 234, 282, 296, 352, 402, 428, 481",2^n,***,"2 (n-1) for n in range(1, 11)",a_n = 2^{n-1},2^n,2^(n-1),"1,2,4,8,16,32,64,128,256,512",a_n = 2^{n-1},"a_n = a_(n-1) + 3*a_(n-2) - a_(n-3), a_1 = 1, a_2 = 2, a_3 = 4",***,2^(n-1),2^(n-1),2^(n-1),***,2^(n-1),2^(n-1),2^n - 1,***,2^(n-1),2^(n-1),prime(n)
"62, 98, 130, 154, 290, 315, 324, 385, 408, 447",3,"62, 98, 130, 154, 290, 315, 324, 385, 408, 447","62, 98, 130, 154, 290, 315, 324, 385, 408, 447",***,"a_n = 2^n - 1, for n >= 1","62, 98, 130, 154, 290, 315, 324, 385, 408, 447",***,***,***,"62, 98, 130, 154, 290, 315, 324, 385, 408, 447",2^n - 1,***,"2**n - 1 for n in range(1, 11)",a_n = Mersenne numbers,2^(n+1) - 1,2^n-1,"1,3,7,15,31,63,127,255,511,1023",a_n = Mersenne numbers,"a_n = 2*a_(n-1) + 2*a_(n-2) - a_(n-3), a_1 = 1, a_2 = 5, a_3 = 12",***,2^n - 1,2^n - 1,2^n - 1,***,2^n - 1,2^n - 1,***,***,2^n - 1,2^n - 1,2^(n-1)
"2, 42, 66, 102, 153, 195, 201, 252, 306, 396",3,"2, 42, 66, 102, 153, 195, 201, 252, 306, 396","2, 42, 66, 102, 153, 195, 201, 252, 306, 396",***,***,"2, 42, 66, 102, 153, 195, 201, 252, 306, 396",***,***,***,"2, 42, 66, 102, 153, 195, 201, 252, 306, 396",***,***,***,***,***,***,"29,57,68,120,134,140,173,197,283,313",***,"a_n = a_(n-1) + a_(n-2) + 2*a_(n-3), a_1 = 1, a_2 = 1, a_3 = 2",***,***,***,***,***,***,***,***,***,***,***,2^n - 1
"128, 151, 153, 217, 224, 332, 382, 400, 450, 478",3,"128, 151, 153, 217, 224, 332, 382, 400, 450, 478","128, 151, 153, 217, 224, 332, 382, 400, 450, 478",***,***,"128, 151, 153, 217, 224, 332, 382, 400, 450, 478",***,***,***,"128, 151, 153, 217, 224, 332, 382, 400, 450, 478",***,***,***,***,***,***,"24,26,36,40,184,226,244,384,391,423",***,"a_n = 2*a_(n-1) - a_(n-3), a_1 = 1, a_2 = 2, a_3 = 5",***,***,***,***,***,***,***,***,***,***,***,***
"26, 50, 114, 148, 160, 170, 274, 347, 432, 497",3,"26, 50, 114, 148, 160, 170, 274, 347, 432, 497","26, 50, 114, 148, 160, 170, 274, 347, 432, 497",***,***,"26, 50, 114, 148, 160, 170, 274, 347, 432, 497",***,***,***,"26, 50, 114, 148, 160, 170, 274, 347, 432, 497",***,***,***,***,***,***,##########,***,"a_n = 3*a_(n-1) - 2*a_(n-2) - a_(n-3), a_1 = 1, a_2 = 3, a_3 = 7",***,***,***,***,***,***,***,***,***,***,***,***
"48, 94, 176, 177, 219, 276, 282, 283, 459, 488",3,"48, 94, 176, 177, 219, 276, 282, 283, 459, 488","48, 94, 176, 177, 219, 276, 282, 283, 459, 488",***,***,"48, 94, 176, 177, 219, 276, 282, 283, 459, 488",***,***,***,"48, 94, 176, 177, 219, 276, 282, 283, 459, 488",***,***,***,***,***,***,"20,48,95,234,282,296,352,402,428,481",***,"a_n = 2*a_(n-1) + a_(n-2) - 2*a_(n-3), a_1 = 1, a_2 = 2, a_3 = 6",***,***,***,***,***,***,***,***,***,***,***,***
"139, 252, 272, 281, 304, 361, 370, 415, 438, 500",3,"139, 252, 272, 281, 304, 361, 370, 415, 438, 500","139, 252, 272, 281, 304, 361, 370, 415, 438, 500",***,***,"139, 252, 272, 281, 304, 361, 370, 415, 438, 500",***,***,***,"139, 252, 272, 281, 304, 361, 370, 415, 438, 500",***,***,***,***,***,***,"62,98,130,154,290,315,324,385,408,447",***,"a_n = a_(n-1) + 2*a_(n-2) + a_(n-3), a_1 = 1, a_2 = 5, a_3 = 12",***,***,***,***,***,***,***,***,***,***,***,***
"15, 95, 115, 195, 240, 318, 326, 350, 432, 450",3,"15, 95, 115, 195, 240, 318, 326, 350, 432, 450","15, 95, 115, 195, 240, 318, 326, 350, 432, 450",***,***,"15, 95, 115, 195, 240, 318, 326, 350, 432, 450",***,***,***,"15, 95, 115, 195, 240, 318, 326, 350, 432, 450",***,***,***,***,***,***,"2,42,66,102,153,195,201,252,306,396",***,"a_n = 2*a_(n-1) + 3*a_(n-2) - 2*a_(n-3), a_1 = 1, a_2 = 2, a_3 = 7",***,***,***,***,***,***,***,***,***,***,***,***
"134, 224, 293, 378, 379, 395, 434, 451, 482, 496",3,"134, 224, 293, 378, 379, 395, 434, 451, 482, 496","134, 224, 293, 378, 379, 395, 434, 451, 482, 496",***,***,"134, 224, 293, 378, 379, 395, 434, 451, 482, 496",***,***,***,"134, 224, 293, 378, 379, 395, 434, 451, 482, 496",***,***,***,***,***,***,##########,***,"a_n = 3*a_(n-1) - a_(n-2) - 2*a_(n-3), a_1 = 1, a_2 = 3, a_3 = 8",***,***,***,***,***,***,***,***,***,***,***,***
"23, 93, 142, 145, 245, 266, 296, 317, 428, 495",3,"23, 93, 142, 145, 245, 266, 296, 317, 428, 495","23, 93, 142, 145, 245, 266, 296, 317, 428, 495",***,***,"23, 93, 142, 145, 245, 266, 296, 317, 428, 495",***,***,***,"23, 93, 142, 145, 245, 266, 296, 317, 428, 495",***,***,***,***,***,***,"26,50,114,148,160,170,274,347,432,497",***,"a_n = 2*a_(n-1) + 2*a_(n-2) - 3*a_(n-3), a_1 = 1, a_2 = 5, a_3 = 14",***,***,***,***,***,***,***,***,***,***,***,***
"18, 39, 71, 194, 197, 219, 263, 270, 416, 473",3,"18, 39, 71, 194, 197, 219, 263, 270, 416, 473","18, 39, 71, 194, 197, 219, 263, 270, 416, 473",***,***,"18, 39, 71, 194, 197, 219, 263, 270, 416, 473",***,***,***,"18, 39, 71, 194, 197, 219, 263, 270, 416, 473",***,***,***,***,***,***,"48,94,176,177,219,276,282,283,459,488",***,"a_n = a_(n-1) + 3*a_(n-2) - 2*a_(n-3), a_1 = 1, a_2 = 2, a_3 = 5",***,***,***,***,***,***,***,***,***,***,***,***
"9, 84, 144, 170, 325, 393, 401, 405, 435, 497",3,"9, 84, 144, 170, 325, 393, 401, 405, 435, 497","9, 84, 144, 170, 325, 393, 401, 405, 435, 497",***,***,"9, 84, 144, 170, 325, 393, 401, 405, 435, 497",***,***,***,"9, 84, 144, 170, 325, 393, 401, 405, 435, 497",***,***,***,***,***,***,##########,***,"a_n = 2*a_(n-1) + a_(n-2) - a_(n-3), a_1 = 1, a_2 = 8, a_3 = 10",***,***,***,***,***,***,***,***,***,***,***,***
"26, 40, 202, 267, 282, 340, 359, 408, 410, 495",3,"26, 40, 202, 267, 282, 340, 359, 408, 410, 495","26, 40, 202, 267, 282, 340, 359, 408, 410, 495",***,***,"26, 40, 202, 267, 282, 340, 359, 408, 410, 495",***,***,***,"26, 40, 202, 267, 282, 340, 359, 408, 410, 495",***,***,***,***,***,***,"15,95,115,195,240,318,326,350,432,450",***,"a_n = 3*a_(n-1) - 2*a_(n-2) - 2*a_(n-3), a_1 = 1, a_2 = 7, a_3 = 16",***,***,***,***,***,***,***,***,***,***,***,***
"34, 92, 164, 165, 209, 296, 414, 456, 467, 494",3,"34, 92, 164, 165, 209, 296, 414, 456, 467, 494","34, 92, 164, 165, 209, 296, 414, 456, 467, 494",***,***,"34, 92, 164, 165, 209, 296, 414, 456, 467, 494",***,***,***,"34, 92, 164, 165, 209, 296, 414, 456, 467, 494",***,***,***,***,***,***,##########,***,"a_n = 2*a_(n-1) + 3*a_(n-2) - 3*a_(n-3), a_1 = 1, a_2 = 2, a_3 = 7",***,***,***,***,***,***,***,***,***,***,***,***
"16, 119, 121, 123, 135, 139, 285, 311, 409, 412",3,"16, 119, 121, 123, 135, 139, 285, 311, 409, 412","16, 119, 121, 123, 135, 139, 285, 311, 409, 412",***,***,"16, 119, 121, 123, 135, 139, 285, 311, 409, 412",***,***,***,"16, 119, 121, 123, 135, 139, 285, 311, 409, 412",***,***,***,***,***,***,"23,93,142,145,245,266,296,317,428,495",***,"a_n = a_(n-1) + 2*a_(n-2) + 2*a_(n-3), a_1 = 1, a_2 = 5, a_3 = 14",***,***,***,***,***,***,***,***,***,***,***,***
"8, 11, 12, 103, 116, 196, 247, 254, 389, 427",3,"8, 11, 12, 103, 116, 196, 247, 254, 389, 427","8, 11, 12, 103, 116, 196, 247, 254, 389, 427",***,***,"8, 11, 12, 103, 116, 196, 247, 254, 389, 427",***,***,***,"8, 11, 12, 103, 116, 196, 247, 254, 389, 427",***,***,***,***,***,***,"18,39,71,194,197,219,263,270,416,473",***,"a_n = 2*a_(n-1) + a_(n-2) - 2*a_(n-3), a_1 = 1, a_2 = 26, a_3 = 70",***,***,***,***,***,***,***,***,***,***,***,***
"12, 36, 96, 119, 171, 213, 221, 232, 363, 451",3,"12, 36, 96, 119, 171, 213, 221, 232, 363, 451","12, 36, 96, 119, 171, 213, 221, 232, 363, 451",***,***,"12, 36, 96, 119, 171, 213, 221, 232, 363, 451",***,***,***,"12, 36, 96, 119, 171, 213, 221, 232, 363, 451",***,***,***,***,***,***,"9,84,144,170,325,393,401,405,435,497",***,"a_n = 3*a_(n-1) - 2*a_(n-2) - a_(n-3), a_1 = 1, a_2 = 27, a_3 = 81",***,***,***,***,***,***,***,***,***,***,***,***
"38, 91, 142, 197, 215, 313, 316, 319, 423, 466",3,"38, 91, 142, 197, 215, 313, 316, 319, 423, 466","38, 91, 142, 197, 215, 313, 316, 319, 423, 466",***,***,"38, 91, 142, 197, 215, 313, 316, 319, 423, 466",***,***,***,"38, 91, 142, 197, 215, 313, 316, 319, 423, 466",***,***,***,***,***,***,"26,40,202,267,282,340,359,408,410,495",***,a_n = n + 1,***,***,***,***,***,***,***,***,***,***,***,***
"7, 42, 147, 201, 213, 248, 310, 332, 436, 479",3,"7, 42, 147, 201, 213, 248, 310, 332, 436, 479","7, 42, 147, 201, 213, 248, 310, 332, 436, 479",***,***,"7, 42, 147, 201, 213, 248, 310, 332, 436, 479",***,***,***,"7, 42, 147, 201, 213, 248, 310, 332, 436, 479",***,***,***,***,***,***,"34,92,164,165,209,296,414,456,467,494",***,a_n = 2*n + 1,***,***,***,***,***,***,***,***,***,***,***,***
"27, 101, 105, 164, 245, 290, 304, 441, 449, 490",3,"27, 101, 105, 164, 245, 290, 304, 441, 449, 490","27, 101, 105, 164, 245, 290, 304, 441, 449, 490",***,***,"27, 101, 105, 164, 245, 290, 304, 441, 449, 490",***,***,***,"27, 101, 105, 164, 245, 290, 304, 441, 449, 490",***,***,***,***,***,***,##########,***,a_n = 3*n + 1,***,***,***,***,***,***,***,***,***,***,***,***
"4, 11, 29, 106, 214, 283, 296, 298, 360, 497",3,"4, 11, 29, 106, 214, 283, 296, 298, 360, 497","4, 11, 29, 106, 214, 283, 296, 298, 360, 497",***,***,"4, 11, 29, 106, 214, 283, 296, 298, 360, 497",***,***,***,"4, 11, 29, 106, 214, 283, 296, 298, 360, 497",***,***,***,***,***,***,"8,11,12,103,116,196,247,254,389,427",***,a_n = 4*n + 1,***,***,***,***,***,***,***,***,***,***,***,***
"72, 106, 139, 165, 171, 192, 199, 429, 453, 477",3,"72, 106, 139, 165, 171, 192, 199, 429, 453, 477","72, 106, 139, 165, 171, 192, 199, 429, 453, 477",***,***,"72, 106, 139, 165, 171, 192, 199, 429, 453, 477",***,***,***,"72, 106, 139, 165, 171, 192, 199, 429, 453, 477",***,***,***,***,***,***,"12,36,96,119,171,213,221,232,363,451",***,a_n = 5*n + 1,***,***,***,***,***,***,***,***,***,***,***,***
"187, 218, 260, 295, 301, 314, 379, 410, 452, 469",3,"187, 218, 260, 295, 301, 314, 379, 410, 452, 469","187, 218, 260, 295, 301, 314, 379, 410, 452, 469",***,***,"187, 218, 260, 295, 301, 314, 379, 410, 452, 469",***,***,***,"187, 218, 260, 295, 301, 314, 379, 410, 452, 469",***,***,***,***,***,***,"38,91,142,197,215,313,316,319,423,466",***,a_n = 6*n + 1,***,***,***,***,***,***,***,***,***,***,***,***
"29, 63, 95, 140, 150, 190, 221, 437, 482, 491",3,"29, 63, 95, 140, 150, 190, 221, 437, 482, 491","29, 63, 95, 140, 150, 190, 221, 437, 482, 491",***,***,"29, 63, 95, 140, 150, 190, 221, 437, 482, 491",***,***,***,"29, 63, 95, 140, 150, 190, 221, 437, 482, 491",***,***,***,***,***,***,"7,42,147,201,213,248,310,332,436,479",***,a_n = 7*n + 1,***,***,***,***,***,***,***,***,***,***,***,***
"3, 11, 84, 144, 156, 177, 188, 199, 229, 284",3,"3, 11, 84, 144, 156, 177, 188, 199, 229, 284","3, 11, 84, 144, 156, 177, 188, 199, 229, 284",***,***,"3, 11, 84, 144, 156, 177, 188, 199, 229, 284",***,***,***,"3, 11, 84, 144, 156, 177, 188, 199, 229, 284",***,***,***,***,***,***,##########,***,a_n = 8*n + 1,***,***,***,***,***,***,***,***,***,***,***,***
"26, 94, 98, 137, 176, 301, 323, 330, 372, 444",3,"26, 94, 98, 137, 176, 301, 323, 330, 372, 444","26, 94, 98, 137, 176, 301, 323, 330, 372, 444",***,***,"26, 94, 98, 137, 176, 301, 323, 330, 372, 444",***,***,***,"26, 94, 98, 137, 176, 301, 323, 330, 372, 444",***,***,***,***,***,***,"4,11,29,106,214,283,296,298,360,497",***,a_n = 9*n + 1,***,***,***,***,***,***,***,***,***,***,***,***
"39, 81, 88, 210, 215, 378, 416, 430, 439, 490'",3,"39, 81, 88, 210, 215, 378, 416, 430, 439, 490'","39, 81, 88, 210, 215, 378, 416, 430, 439, 490'",***,***,"39, 81, 88, 210, 215, 378, 416, 430, 439, 490'",***,***,***,"39, 81, 88, 210, 215, 378, 416, 430, 439, 490'",***,***,***,***,***,***,##########,***,a_n = 10*n + 1,***,***,***,***,***,***,***,***,***,***,***,***
